All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# contigs (>= 5000 bp)       7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
# contigs (>= 10000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
# contigs (>= 25000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
# contigs (>= 50000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
Total length (>= 5000 bp)    24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Total length (>= 10000 bp)   24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Total length (>= 25000 bp)   24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Total length (>= 50000 bp)   24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
# contigs                    7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
Largest contig               4765396         4765339               4765361                4765365                4764689               4764726               6788614          4765403         4765334               4765359                4765364                4764683               4764682               6788581          4765471         4765411               4765372                4765365                4764770               4764744               6788292        
Total length                 24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Reference length             4787036         4787036               4787036                4787036                4787036               4787036               4787036          4787036         4787036               4787036                4787036                4787036               4787036               4787036          4787036         4787036               4787036                4787036                4787036               4787036               4787036        
GC (%)                       44.80           44.80                 44.80                  44.80                  44.79                 44.79                 51.10            44.80           44.80                 44.80                  44.80                  44.79                 44.79                 49.48            44.80           44.80                 44.80                  44.80                  44.79                 44.79                 51.10          
Reference GC (%)             50.45           50.45                 50.45                  50.45                  50.45                 50.45                 50.45            50.45           50.45                 50.45                  50.45                  50.45                 50.45                 50.45            50.45           50.45                 50.45                  50.45                  50.45                 50.45                 50.45          
N50                          4045595         4045615               4045602                4045598                4045293               4045319               4755933          4045596         4045616               4045587                4045593                4045258               4045323               4756088          4045596         4045613               4045582                4045587                4045248               4045358               4756065        
NG50                         4765396         4765339               4765361                4765365                4764689               4764726               6788614          4765403         4765334               4765359                4765364                4764683               4764682               6788581          4765471         4765411               4765372                4765365                4764770               4764744               6788292        
N75                          2845436         2845374               2845428                2845430                2845286               2845307               2990636          2845427         2845364               2845435                2845433                2845287               2845362               2990626          2845427         2845365               2845437                2845434                2845286               2845324               2990261        
NG75                         4765396         4765339               4765361                4765365                4764689               4764726               6788614          4765403         4765334               4765359                4765364                4764683               4764682               6788581          4765471         4765411               4765372                4765365                4764770               4764744               6788292        
L50                          3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3              
LG50                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
L75                          5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5              
LG75                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
# misassemblies              21              21                    21                     21                     21                    21                    19               21              21                    21                     21                     21                    21                    19               21              21                    21                     21                     21                    21                    19             
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  4765396         4765339               4765361                4765365                4764689               4764726               4763575          4765403         4765334               4765359                4765364                4764683               4764682               4763493          4765471         4765411               4765372                4765365                4764770               4764744               4763941        
# local misassemblies        36              36                    36                     36                     36                    36                    57               37              36                    37                     37                     36                    36                    60               36              36                    36                     36                     37                    36                    50             
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# unaligned contigs          0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part     
Unaligned length             19040505        19035392              19036412               19028914               19026122              19019095              23174629         19040491        19034214              19035522               19026126               19022699              19018419              25901605         19042627        19036995              19036124               19028944               19028251              19019480              23177631       
Genome fraction (%)          97.703          97.703                97.703                 97.703                 97.703                97.703                97.663           97.701          97.703                97.701                 97.701                 97.703                97.703                97.665           97.703          97.703                97.703                 97.703                 97.703                97.703                97.667         
Duplication ratio            1.076           1.077                 1.077                  1.077                  1.077                 1.077                 1.060            1.076           1.077                 1.077                  1.077                  1.077                 1.077                 1.058            1.076           1.076                 1.077                  1.077                  1.076                 1.077                 1.060          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     440.09          439.64                442.08                 441.69                 445.67                446.59                493.41           439.84          439.36                442.81                 442.41                 449.93                449.16                484.70           435.47          432.93                442.06                 441.65                 439.79                449.39                477.81         
# indels per 100 kbp         20.72           17.88                 15.08                  14.69                  35.65                 33.19                 231.87           20.78           18.11                 15.16                  15.01                  35.60                 33.12                 236.85           20.44           16.76                 15.87                  15.78                  37.31                 33.46                 234.75         
Largest alignment            1769075         1769068               1769076                1769075                1768838               1768853               1104940          1408820         1408784               1408817                1408818                1408647               1408657               1102546          1414863         1414845               1414854                1414832                1414839               1414665               1317831        
Total aligned length         5028944         5030053               5030449                5030158                5029878               5029746               4954414          5031162         5029786               5033437                5033154                5033049               5031223               4942673          5025688         5026076               5029498                5029291                5025531               5029949               4948104        
NGA50                        1103290         1103273               1103272                1103272                1103115               1103124               682839           1105658         1103270               1105646                1105649                1103118               1103114               586349           1102980         1102966               1102956                1102960                1102786               1102845               586997         
NGA75                        399303          399301                399304                 399307                 399254                399241                412061           393569          393564                393562                 393562                 393555                393550                376968           394051          394047                394042                 394044                 393983                394000                369859         
LGA50                        2               2                     2                      2                      2                     2                     3                2               2                     2                      2                      2                     2                     3                2               2                     2                      2                      2                     2                     3              
LGA75                        4               4                     4                      4                      4                     4                     5                5               5                     5                      5                      5                     5                     6                5               5                     5                      5                      5                     5                     6              
