Assembly	r10_1bin_v3_1_MP	r10_1bin_v3_1_MP_helen	r10_1bin_v3_1_r1_medaka	r10_1bin_v3_1_r2_medaka	r10_1bin_v3_1_racon_r1	r10_1bin_v3_1_racon_r2	r10_1bin_v3_1_raw	r10_1bin_v3_2_MP	r10_1bin_v3_2_MP_helen	r10_1bin_v3_2_r1_medaka	r10_1bin_v3_2_r2_medaka	r10_1bin_v3_2_racon_r1	r10_1bin_v3_2_racon_r2	r10_1bin_v3_2_raw	r10_1bin_v3_3_MP	r10_1bin_v3_3_MP_helen	r10_1bin_v3_3_r1_medaka	r10_1bin_v3_3_r2_medaka	r10_1bin_v3_3_racon_r1	r10_1bin_v3_3_racon_r2	r10_1bin_v3_3_raw
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 5000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 10000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 25000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 50000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792277	6792242	6792252	6792253	6791585	6791667	6787707	6792257	6792199	6792399	6792386	6791581	6791672	6787721	6792253	6792197	6792391	6792395	6791556	6791638	6787718
Total length	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Reference length	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151
GC (%)	49.50	49.51	49.50	49.50	49.49	49.49	49.48	49.50	49.51	49.50	49.50	49.49	49.49	49.48	49.50	49.51	49.50	49.50	49.49	49.49	49.48
Reference GC (%)	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21
N50	4758942	4758045	4758082	4757996	4757676	4757433	4756098	4758934	4757811	4759010	4758465	4757950	4757851	4756089	4758933	4757839	4759025	4758469	4757998	4757867	4756074
NG50	6792277	6792242	6792252	6792253	6791585	6791667	6787707	6792257	6792199	6792399	6792386	6791581	6791672	6787721	6792253	6792197	6792391	6792395	6791556	6791638	6787718
N75	2992085	2992067	2992074	2992074	2991917	2991951	2990633	2992084	2992067	2992184	2992173	2991893	2991931	2990628	2992084	2992068	2992178	2992176	2991922	2991951	2990626
NG75	6792277	6792242	6792252	6792253	6791585	6791667	6787707	6792257	6792199	6792399	6792386	6791581	6791672	6787721	6792253	6792197	6792391	6792395	6791556	6791638	6787718
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	8	6	6	6	6	6	10	8	6	6	6	6	6	10	6	6	6	6	6	6	10
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792277	6792242	6792252	6792253	6791585	6791667	6787707	6792257	6792199	6792399	6792386	6791581	6791672	6787721	6792253	6792197	6792391	6792395	6791556	6791638	6787718
# local misassemblies	11	11	11	11	11	11	28	11	11	11	11	11	12	29	11	11	11	11	11	11	29
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	6	6
