All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
# misassemblies                                 8                  6                        6                         6                         6                        6                        10                  6                  6                        6                         6                         6                        6                        10                  6                  6                        6                         6                         6                        6                        10                
  # contig misassemblies                        8                  6                        6                         6                         6                        6                        10                  6                  6                        6                         6                         6                        6                        10                  6                  6                        6                         6                         6                        6                        10                
    # c. relocations                            1                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # c. translocations                         7                  6                        6                         6                         6                        6                        10                  6                  6                        6                         6                         6                        6                        10                  6                  6                        6                         6                         6                        6                        10                
    # c. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
  # scaffold misassemblies                      0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. translocations                         0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassembled contigs                          1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
Misassembled contigs length                     6792242            6792185                  6792244                   6792252                   6791600                  6791732                  6788581             6792252            6792198                  6792245                   6792243                   6791577                  6791686                  6787718             6792252            6792198                  6792245                   6792243                   6791577                  6791686                  6787718           
# possibly misassembled contigs                 1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
    # possible misassemblies                    16                 18                       18                        18                        18                       18                       34                  18                 18                       18                        18                        18                       18                       34                  18                 18                       18                        18                        18                       18                       34                
# local misassemblies                           11                 11                       11                        11                        11                       11                       25                  11                 11                       11                        11                        11                       11                       29                  11                 11                       11                        11                        11                       11                       29                
# scaffold gap ext. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# scaffold gap loc. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassemblies caused by fragmented reference  20                 21                       21                        21                        21                       21                       16                  21                 21                       21                        21                        21                       21                       16                  21                 21                       21                        21                        21                       21                       16                
# unaligned mis. contigs                        7                  7                        7                         7                         7                        7                        6                   7                  7                        7                         7                         7                        7                        6                   7                  7                        7                         7                         7                        7                        7                 
# mismatches                                    3947               3776                     3804                      3808                      4003                     3952                     4344                3925               3776                     3843                      3798                      3994                     3920                     4349                3926               3780                     3801                      3798                      3946                     3958                     4400              
# indels                                        364                340                      242                       241                       980                      904                      6534                369                346                      243                       242                       959                      907                      6504                368                346                      244                       243                       961                      909                      6498              
    # indels (<= 5 bp)                          269                243                      148                       147                       886                      808                      6411                273                248                      149                       148                       864                      812                      6383                272                248                      150                       149                       866                      814                      6377              
    # indels (> 5 bp)                           95                 97                       94                        94                        94                       96                       123                 96                 98                       94                        94                        95                       95                       121                 96                 98                       94                        94                        95                       95                       121               
Indels length                                   5394               5400                     5259                      5258                      6103                     6027                     12929               5412               5412                     5261                      5258                      6074                     6021                     12818               5411               5412                     5262                      5259                      6076                     6023                     12810             
