S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
46754	47071	3	320	pa_ill_pa_contig35	contig_125	98.43		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3149	998	pa_ill_pa_contig55	contig_125	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3150	235698	pa_ill_pa_contig10	contig_125	99.97		True
translocation
129	1718	235699	237288	pa_ill_pa_contig57	contig_125	100.0		True
translocation
232388	237415	237289	242313	pa_ill_pa_contig10	contig_125	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	244746	242314	pa_ill_pa_contig48	contig_125	99.6		True
local misassembly
1	1079	245980	244902	pa_ill_pa_contig48	contig_125	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	245981	246825	pa_ill_pa_contig70	contig_125	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	249834	246826	pa_ill_pa_contig51	contig_125	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	367736	249835	pa_ill_pa_contig11	contig_125	99.97		True
local misassembly
1	92856	460584	367737	pa_ill_pa_contig11	contig_125	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	460585	461459	pa_ill_pa_contig69	contig_125	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	461460	510427	pa_ill_pa_contig34	contig_125	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	510428	516030	pa_ill_pa_contig44	contig_125	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	622347	516031	pa_ill_pa_contig22	contig_125	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	712871	622723	pa_ill_pa_contig23	contig_125	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	712872	713958	pa_ill_pa_contig67	contig_125	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	713959	1179588	pa_ill_pa_contig3	contig_125	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1179589	1182047	pa_ill_pa_contig54	contig_125	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1182498	1182048	pa_ill_pa_contig83	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	1182499	1183366	pa_ill_pa_contig74	contig_125	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	1184170	1303164	pa_ill_pa_contig18	contig_125	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	1303165	1308821	pa_ill_pa_contig44	contig_125	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	1308822	1309659	pa_ill_pa_contig63	contig_125	100.0		True
translocation
56	1405	1311009	1309660	pa_ill_pa_contig12	contig_125	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
