S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
46754	47071	3	320	pa_ill_pa_contig35	contig_125	98.43		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3149	998	pa_ill_pa_contig55	contig_125	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3150	235717	pa_ill_pa_contig10	contig_125	99.99		True
translocation
129	1718	235718	237307	pa_ill_pa_contig57	contig_125	100.0		True
translocation
232388	237415	237308	242334	pa_ill_pa_contig10	contig_125	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	244767	242335	pa_ill_pa_contig48	contig_125	99.6		True
local misassembly
1	1079	246001	244923	pa_ill_pa_contig48	contig_125	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	246002	246847	pa_ill_pa_contig70	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	249856	246848	pa_ill_pa_contig51	contig_125	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	367765	249857	pa_ill_pa_contig11	contig_125	99.99		True
local misassembly
1	92856	460624	367766	pa_ill_pa_contig11	contig_125	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	460625	461499	pa_ill_pa_contig69	contig_125	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	461500	510469	pa_ill_pa_contig34	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	510470	516073	pa_ill_pa_contig44	contig_125	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	622398	516074	pa_ill_pa_contig22	contig_125	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	712927	622774	pa_ill_pa_contig23	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	712928	714014	pa_ill_pa_contig67	contig_125	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	714015	1179667	pa_ill_pa_contig3	contig_125	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1179668	1182126	pa_ill_pa_contig54	contig_125	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1182577	1182127	pa_ill_pa_contig83	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	1182578	1183445	pa_ill_pa_contig74	contig_125	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	1184249	1303253	pa_ill_pa_contig18	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	1303254	1308911	pa_ill_pa_contig44	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	1308912	1309749	pa_ill_pa_contig63	contig_125	100.0		True
translocation
56	1405	1311099	1309750	pa_ill_pa_contig12	contig_125	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
