All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# misassemblies                                 34              34                    34                     34                     34                    34                    31               34              34                    34                     34                     34                    34                    32               33              33                    33                     33                     33                    33                    31             
  # contig misassemblies                        34              34                    34                     34                     34                    34                    31               34              34                    34                     34                     34                    34                    32               33              33                    33                     33                     33                    33                    31             
    # c. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # c. translocations                         34              34                    34                     34                     34                    34                    31               34              34                    34                     34                     34                    34                    32               33              33                    33                     33                     33                    33                    31             
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     4045595         4045615               4045602                4045598                4045293               4045319               4043044          4045596         4045616               4045587                4045593                4045258               4045323               4042479          4045596         4045613               4045582                4045587                4045248               4045358               4043002        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # possible misassemblies                    10              10                    10                     10                     10                    10                    11               10              10                    10                     10                     10                    10                    11               10              10                    10                     10                     10                    10                    11             
# local misassemblies                           13              13                    13                     13                     13                    13                    17               13              13                    13                     13                     13                    13                    18               13              13                    13                     13                     13                    13                    18             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  49              49                    49                     49                     49                    49                    30               49              49                    49                     49                     49                    49                    32               49              49                    49                     49                     49                    49                    32             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     5              
# mismatches                                    3887            3809                  3889                   3838                   3983                  3877                  3327             3896            3805                  3810                   3821                   3879                  3921                  3486             3903            3710                  3760                   3833                   3787                  3973                  3461           
# indels                                        445             442                   423                    426                    858                   782                   4177             453             447                   414                    422                    863                   783                   4100             446             444                   425                    421                    854                   795                   4183           
    # indels (<= 5 bp)                          396             393                   374                    377                    807                   733                   4114             402             397                   366                    373                    813                   733                   4041             397             396                   376                    372                    805                   746                   4126           
    # indels (> 5 bp)                           49              49                    49                     49                     51                    49                    63               51              50                    48                     49                     50                    50                    59               49              48                    49                     49                     49                    49                    57             
Indels length                                   2583            2589                  2563                   2564                   3116                  3005                  7403             2609            2599                  2534                   2559                   3130                  2995                  7143             2590            2579                  2563                   2557                   3092                  3013                  7238           
