S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102749	ec_ill_ec_contig2	contig_93	99.97		True
local misassembly
310191	312944	102750	105505	ec_ill_ec_contig2	contig_93	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303833	105594	ec_ill_ec_contig4	contig_93	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306804	303834	ec_ill_ec_contig65	contig_93	99.9		True
local misassembly
1	1463	308664	307202	ec_ill_ec_contig65	contig_93	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309031	346322	ec_ill_ec_contig39	contig_93	99.97		True
local misassembly [fragmentation of reference genome]
22	350	346418	346746	ec_ill_ec_contig104	contig_93	91.19		True
indel: indel (> 5bp)
384	502	346747	346865	ec_ill_ec_contig104	contig_93	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346938	392236	ec_ill_ec_contig15	contig_93	99.92		True
local misassembly
45064	105217	392251	452395	ec_ill_ec_contig15	contig_93	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452396	453626	ec_ill_ec_contig79	contig_93	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453627	514037	ec_ill_ec_contig31	contig_93	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514225	857409	ec_ill_ec_contig1	contig_93	99.97		True
local misassembly
343563	393863	857410	907709	ec_ill_ec_contig1	contig_93	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980651	907710	ec_ill_ec_contig16	contig_93	99.97		True
local misassembly
1	31383	1012025	980652	ec_ill_ec_contig16	contig_93	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015053	1012027	ec_ill_ec_contig65	contig_93	99.93		True
local misassembly
1	1463	1016918	1015457	ec_ill_ec_contig65	contig_93	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058462	1017189	ec_ill_ec_contig37	contig_93	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059380	1058463	ec_ill_ec_contig83	contig_93	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059381	1206853	ec_ill_ec_contig7	contig_93	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206854	1208778	ec_ill_ec_contig73	contig_93	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209340	1208779	ec_ill_ec_contig91	contig_93	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209341	1209985	ec_ill_ec_contig94	contig_93	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210239	1211967	ec_ill_ec_contig75	contig_93	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212416	1212901	ec_ill_ec_contig104	contig_93	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220868	1212969	ec_ill_ec_contig60	contig_93	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1221990	1220869	ec_ill_ec_contig80	contig_93	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1221991	1315377	ec_ill_ec_contig20	contig_93	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315378	1317301	ec_ill_ec_contig73	contig_93	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317863	1317302	ec_ill_ec_contig91	contig_93	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317864	1318488	ec_ill_ec_contig94	contig_93	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318489	1390315	ec_ill_ec_contig25	contig_93	99.92		True
local misassembly [fragmentation of reference genome]
1	5324	1395744	1390423	ec_ill_ec_contig64	contig_93	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396027	1412093	ec_ill_ec_contig53	contig_93	99.96		True
translocation
26703	27345	1412094	1412735	ec_ill_ec_contig46	contig_93	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412736	1413191	ec_ill_ec_contig101	contig_93	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415771	1413192	ec_ill_ec_contig70	contig_93	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416054	1418477	ec_ill_ec_contig72	contig_93	99.92		True
translocation
4875	5324	1418478	1418927	ec_ill_ec_contig64	contig_93	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419641	1419030	ec_ill_ec_contig25	contig_93	97.26		True
translocation
1	22687	1442327	1419642	ec_ill_ec_contig48	contig_93	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442328	1442887	ec_ill_ec_contig92	contig_93	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442888	1444243	ec_ill_ec_contig77	contig_93	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444756	1444244	ec_ill_ec_contig97	contig_93	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555830	1444757	ec_ill_ec_contig12	contig_93	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556015	1557476	ec_ill_ec_contig65	contig_93	99.79		True
local misassembly
1876	4847	1557797	1560769	ec_ill_ec_contig65	contig_93	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649218	1560770	ec_ill_ec_contig23	contig_93	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649622	1651082	ec_ill_ec_contig65	contig_93	99.73		True
local misassembly
1876	4902	1651494	1654523	ec_ill_ec_contig65	contig_93	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654742	1708428	ec_ill_ec_contig33	contig_93	99.96		True
local misassembly [fragmentation of reference genome]
1	71920	1708429	1780330	ec_ill_ec_contig24	contig_93	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780729	1782190	ec_ill_ec_contig65	contig_93	99.86		True
local misassembly
1876	4902	1782511	1785536	ec_ill_ec_contig65	contig_93	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790021	1785755	ec_ill_ec_contig66	contig_93	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790022	1790942	ec_ill_ec_contig83	contig_93	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821773	1790943	ec_ill_ec_contig43	contig_93	99.94		True
translocation
56	399	1822115	1821774	ec_ill_ec_contig6	contig_93	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822116	1823576	ec_ill_ec_contig65	contig_93	99.79		True
local misassembly
1876	4902	1823897	1826923	ec_ill_ec_contig65	contig_93	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1826925	1829935	ec_ill_ec_contig8	contig_93	99.93		True
indel: stretch of mismatches
3012	83127	1829936	1909927	ec_ill_ec_contig8	contig_93	99.83		True
local misassembly
