S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102747	ec_ill_ec_contig2	contig_93	99.96		True
local misassembly
310191	312944	102748	105500	ec_ill_ec_contig2	contig_93	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303822	105590	ec_ill_ec_contig4	contig_93	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306793	303823	ec_ill_ec_contig65	contig_93	99.9		True
local misassembly
1	1463	308653	307191	ec_ill_ec_contig65	contig_93	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309020	346312	ec_ill_ec_contig39	contig_93	99.97		True
local misassembly [fragmentation of reference genome]
22	350	346408	346736	ec_ill_ec_contig104	contig_93	91.19		True
indel: indel (> 5bp)
384	502	346737	346855	ec_ill_ec_contig104	contig_93	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346928	392229	ec_ill_ec_contig15	contig_93	99.92		True
local misassembly
45064	105217	392244	452385	ec_ill_ec_contig15	contig_93	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452386	453616	ec_ill_ec_contig79	contig_93	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453617	514026	ec_ill_ec_contig31	contig_93	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514214	857391	ec_ill_ec_contig1	contig_93	99.97		True
local misassembly
343563	393863	857392	907684	ec_ill_ec_contig1	contig_93	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980630	907685	ec_ill_ec_contig16	contig_93	99.96		True
local misassembly
1	31383	1012006	980631	ec_ill_ec_contig16	contig_93	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015036	1012008	ec_ill_ec_contig65	contig_93	99.87		True
local misassembly
1	1463	1016902	1015440	ec_ill_ec_contig65	contig_93	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058443	1017173	ec_ill_ec_contig37	contig_93	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059363	1058444	ec_ill_ec_contig83	contig_93	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059364	1206824	ec_ill_ec_contig7	contig_93	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206825	1208748	ec_ill_ec_contig73	contig_93	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209309	1208749	ec_ill_ec_contig91	contig_93	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209310	1209953	ec_ill_ec_contig94	contig_93	98.76		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210207	1211935	ec_ill_ec_contig75	contig_93	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212384	1212869	ec_ill_ec_contig104	contig_93	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220837	1212937	ec_ill_ec_contig60	contig_93	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1221960	1220838	ec_ill_ec_contig80	contig_93	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1221961	1315377	ec_ill_ec_contig20	contig_93	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315378	1317301	ec_ill_ec_contig73	contig_93	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317863	1317302	ec_ill_ec_contig91	contig_93	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317864	1318488	ec_ill_ec_contig94	contig_93	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318489	1390317	ec_ill_ec_contig25	contig_93	99.9		True
local misassembly [fragmentation of reference genome]
1	5324	1395747	1390425	ec_ill_ec_contig64	contig_93	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396030	1412100	ec_ill_ec_contig53	contig_93	99.91		True
translocation
26703	27345	1412101	1412742	ec_ill_ec_contig46	contig_93	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412743	1413196	ec_ill_ec_contig101	contig_93	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415776	1413197	ec_ill_ec_contig70	contig_93	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416059	1418483	ec_ill_ec_contig72	contig_93	99.96		True
translocation
4875	5324	1418484	1418933	ec_ill_ec_contig64	contig_93	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419646	1419036	ec_ill_ec_contig25	contig_93	97.25		True
translocation
1	22687	1442334	1419647	ec_ill_ec_contig48	contig_93	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
