All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# misassemblies                                 73                   75                   73                   74             74             74             76                    74                    75                    74                    77                    75                    80                   75                   79                   75                   79                   76                   75              75              77            
  # contig misassemblies                        73                   75                   73                   74             74             74             76                    74                    75                    74                    77                    75                    80                   75                   79                   75                   79                   76                   75              75              77            
    # c. relocations                            3                    4                    3                    4              4              4              3                     4                     3                     4                     5                     4                     3                    4                    3                    4                    5                    4                    4               5               4             
    # c. translocations                         70                   71                   70                   70             70             70             73                    70                    72                    70                    72                    71                    77                   71                   76                   71                   74                   72                   71              70              73            
    # c. inversions                             0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
  # scaffold misassemblies                      0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. relocations                            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. translocations                         0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. inversions                             0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassembled contigs                          1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
Misassembled contigs length                     1945220              1948337              1946027              1947386        1948618        1947377        1946006               1948295               1946186               1938810               1942023               1939676               1934396              1939137              1934016              1929499              1935082              1927070              1945410         1947409         1945404       
# possibly misassembled contigs                 1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
    # possible misassemblies                    36                   34                   36                   36             34             36             34                    34                    36                    40                    34                    36                    32                   38                   32                   34                   32                   34                   42              42              46            
# local misassemblies                           15                   11                   13                   11             12             12             24                    25                    23                    35                    26                    33                    49                   42                   47                   36                   30                   41                   29              28              34            
# scaffold gap ext. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassemblies caused by fragmented reference  64                   65                   64                   66             66             66             63                    65                    63                    66                    65                    65                    61                   62                   62                   64                   61                   64                   41              43              39            
# unaligned mis. contigs                        6                    6                    6                    6              6              6              6                     6                     6                     6                     6                     6                     6                    6                    6                    6                    6                    6                    6               6               6             
# mismatches                                    4790                 4790                 4769                 4882           4884           4809           5640                  5468                  5606                  5126                  5068                  5239                  4841                 4951                 4935                 4840                 4850                 4785                 6583            6529            6311          
# indels                                        279                  190                  198                  218            217            207            286                   272                   308                   221                   175                   252                   1012                 999                  972                  941                  967                  941                  6349            6302            6246          
    # indels (<= 5 bp)                          220                  141                  144                  169            169            159            238                   222                   257                   172                   123                   203                   953                  923                  905                  873                  889                  871                  6245            6213            6144          
    # indels (> 5 bp)                           59                   49                   54                   49             48             48             48                    50                    51                    49                    52                    49                    59                   76                   67                   68                   78                   70                   104             89              102           
Indels length                                   3027                 2687                 2789                 2737           2605           2604           2806                  2769                  2993                  2736                  2783                  2736                  4557                 4780                 4582                 4582                 5021                 4467                 11311           11142           11111         
