Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 5000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 10000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 25000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 50000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792200	6792201	6792230	6792235	6791646	6791695	6788614	6792246	6792183	6792245	6792249	6791667	6791726	6788581	6792689	6792361	6792415	6792413	6791833	6791907	6788292
Total length	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Reference length	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151
GC (%)	49.50	49.51	49.50	49.50	49.49	49.49	49.48	49.50	49.51	49.50	49.50	49.49	49.49	49.48	49.50	49.51	49.50	49.50	49.49	49.49	49.48
Reference GC (%)	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21
N50	4758957	4758026	4758581	4758584	4758019	4758050	4755933	4758981	4757842	4758589	4758101	4757934	4757912	4756088	4758992	4758031	4758588	4758092	4757964	4757944	4756065
NG50	6792200	6792201	6792230	6792235	6791646	6791695	6788614	6792246	6792183	6792245	6792249	6791667	6791726	6788581	6792689	6792361	6792415	6792413	6791833	6791907	6788292
N75	2992094	2992072	2992073	2992074	2991951	2991999	2990636	2992084	2992066	2992073	2992074	2991957	2991981	2990626	2992095	2992076	2992076	2992073	2991935	2991970	2990261
NG75	6792200	6792201	6792230	6792235	6791646	6791695	6788614	6792246	6792183	6792245	6792249	6791667	6791726	6788581	6792689	6792361	6792415	6792413	6791833	6791907	6788292
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	8	6	6	6	6	6	10	8	6	6	6	6	6	10	8	6	6	6	6	6	10
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792200	6792201	6792230	6792235	6791646	6791695	6788614	6792246	6792183	6792245	6792249	6791667	6791726	6788581	6792689	6792361	6792415	6792413	6791833	6791907	6788292
# local misassemblies	11	11	11	11	11	11	24	11	11	11	11	11	11	25	12	11	11	11	11	11	31
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# unaligned contigs	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part	0 + 8 part
