S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
62389	62604	1	216	sa_ill_sa_contig14	contig_44	100.0		True
local misassembly
62396	62502	266	372	sa_ill_sa_contig14	contig_44	98.6		True
translocation
203	3323	373	3492	sa_ill_sa_contig41	contig_44	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	3910	5513	sa_ill_sa_contig8	contig_44	99.71		True
translocation
19	34443	39949	5514	sa_ill_sa_contig24	contig_44	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	78746	39950	sa_ill_sa_contig22	contig_44	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	78747	79279	sa_ill_sa_contig63	contig_44	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	113657	79280	sa_ill_sa_contig25	contig_44	99.89		True
translocation
203	3323	113822	116942	sa_ill_sa_contig41	contig_44	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	117314	249337	sa_ill_sa_contig8	contig_44	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	249679	399172	sa_ill_sa_contig5	contig_44	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	399218	430122	sa_ill_sa_contig27	contig_44	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	430123	430929	sa_ill_sa_contig53	contig_44	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	433970	431048	sa_ill_sa_contig43	contig_44	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	447669	433971	sa_ill_sa_contig35	contig_44	99.83		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	448401	574121	sa_ill_sa_contig10	contig_44	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	574122	574786	sa_ill_sa_contig60	contig_44	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	576388	575905	sa_ill_sa_contig65	contig_44	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	597219	576389	sa_ill_sa_contig32	contig_44	99.92		True
translocation
1	130429	727590	597220	sa_ill_sa_contig9	contig_44	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	727591	732172	sa_ill_sa_contig40	contig_44	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	732173	737490	sa_ill_sa_contig38	contig_44	99.87		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	742070	737491	sa_ill_sa_contig40	contig_44	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	768256	742071	sa_ill_sa_contig29	contig_44	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	857	768622	769478	sa_ill_sa_contig54	contig_44	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	771681	770008	sa_ill_sa_contig46	contig_44	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	771682	815201	sa_ill_sa_contig18	contig_44	99.43		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	815734	815202	sa_ill_sa_contig63	contig_44	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	815735	958645	sa_ill_sa_contig6	contig_44	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	958799	979851	sa_ill_sa_contig31	contig_44	99.91		True
translocation
98057	98213	979852	980008	sa_ill_sa_contig11	contig_44	98.58		True
local misassembly
98340	98561	980009	980230	sa_ill_sa_contig11	contig_44	98.02		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1006839	980231	sa_ill_sa_contig12	contig_44	99.33		True
local misassembly
46	44268	1051071	1006840	sa_ill_sa_contig12	contig_44	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1051072	1101801	sa_ill_sa_contig17	contig_44	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1101802	1106794	sa_ill_sa_contig39	contig_44	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1106795	1121164	sa_ill_sa_contig33	contig_44	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1121876	1121165	sa_ill_sa_contig55	contig_44	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1128566	1121877	sa_ill_sa_contig37	contig_44	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1128592	1131431	sa_ill_sa_contig44	contig_44	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1133008	1131432	sa_ill_sa_contig47	contig_44	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1174120	1133034	sa_ill_sa_contig20	contig_44	99.89		True
translocation
1	1649	1175769	1174121	sa_ill_sa_contig8	contig_44	99.77		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1179276	1176157	sa_ill_sa_contig41	contig_44	99.62		True
translocation
38161	38352	1179559	1179369	sa_ill_sa_contig23	contig_44	95.31		True
local misassembly
38187	38352	1179812	1179647	sa_ill_sa_contig23	contig_44	98.8		True
local misassembly
1	38352	1218276	1179905	sa_ill_sa_contig23	contig_44	99.89		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1218671	1218419	sa_ill_sa_contig51	contig_44	94.07		True
translocation
1	1703	1220386	1218685	sa_ill_sa_contig8	contig_44	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	3323	1224038	1220716	sa_ill_sa_contig41	contig_44	99.85		True
translocation
1	1604	1225642	1224039	sa_ill_sa_contig8	contig_44	99.94		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1229058	1225939	sa_ill_sa_contig41	contig_44	99.84		True
translocation
1	56123	1285545	1229510	sa_ill_sa_contig15	contig_44	99.67		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	718	1285546	1286260	sa_ill_sa_contig58	contig_44	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3261	1289522	1286261	sa_ill_sa_contig42	contig_44	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	211909	1289722	1501716	sa_ill_sa_contig2	contig_44	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	207093	1501717	1708686	sa_ill_sa_contig3	contig_44	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	78138	1708699	1786737	sa_ill_sa_contig7	contig_44	99.72		True
local misassembly
78271	134302	1786738	1842779	sa_ill_sa_contig7	contig_44	99.87		True
fake: not a misassembly [fragmentation of reference genome]
