S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_103	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_103	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3001	2518	sa_ill_sa_contig65	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226540	3002	sa_ill_sa_contig1	contig_103	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226541	227870	sa_ill_sa_contig48	contig_103	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326541	227871	sa_ill_sa_contig11	contig_103	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326542	333625	sa_ill_sa_contig36	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355415	333626	sa_ill_sa_contig30	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355416	356126	sa_ill_sa_contig55	contig_103	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370335	356127	sa_ill_sa_contig34	contig_103	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370489	403486	sa_ill_sa_contig26	contig_103	99.79		True
local misassembly [fragmentation of reference genome]
2	925	403691	404610	sa_ill_sa_contig51	contig_103	97.85		True
translocation
198	3323	405165	408291	sa_ill_sa_contig41	contig_103	99.43		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408713	410315	sa_ill_sa_contig8	contig_103	99.47		True
translocation
1	28120	410316	438448	sa_ill_sa_contig28	contig_103	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438453	478188	sa_ill_sa_contig21	contig_103	99.87		True
local misassembly [fragmentation of reference genome]
98092	98471	478567	478189	sa_ill_sa_contig11	contig_103	97.97		True
translocation
1	62604	478568	541056	sa_ill_sa_contig14	contig_103	99.59		True
local misassembly
62396	62502	541106	541212	sa_ill_sa_contig14	contig_103	98.6		True
translocation
203	3323	541213	544338	sa_ill_sa_contig41	contig_103	99.55		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544756	546360	sa_ill_sa_contig8	contig_103	99.53		True
translocation
19	34443	580794	546361	sa_ill_sa_contig24	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619595	580795	sa_ill_sa_contig22	contig_103	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619596	620128	sa_ill_sa_contig63	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654520	620129	sa_ill_sa_contig25	contig_103	99.82		True
translocation
203	3323	654685	657812	sa_ill_sa_contig41	contig_103	99.55		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	658185	790253	sa_ill_sa_contig8	contig_103	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790595	940139	sa_ill_sa_contig5	contig_103	99.52		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	940185	971094	sa_ill_sa_contig27	contig_103	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	971095	971903	sa_ill_sa_contig53	contig_103	99.54		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974943	972022	sa_ill_sa_contig43	contig_103	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988653	974944	sa_ill_sa_contig35	contig_103	99.75		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989385	1115189	sa_ill_sa_contig10	contig_103	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1115190	1115854	sa_ill_sa_contig60	contig_103	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117456	1116973	sa_ill_sa_contig65	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1138292	1117457	sa_ill_sa_contig32	contig_103	99.83		True
translocation
1	130429	1268709	1138293	sa_ill_sa_contig9	contig_103	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268710	1273295	sa_ill_sa_contig40	contig_103	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1273296	1278616	sa_ill_sa_contig38	contig_103	99.79		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1283200	1278617	sa_ill_sa_contig40	contig_103	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1309380	1283201	sa_ill_sa_contig29	contig_103	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309745	1310602	sa_ill_sa_contig54	contig_103	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312807	1311132	sa_ill_sa_contig46	contig_103	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312808	1356345	sa_ill_sa_contig18	contig_103	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356878	1356346	sa_ill_sa_contig63	contig_103	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356879	1499837	sa_ill_sa_contig6	contig_103	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499991	1521041	sa_ill_sa_contig31	contig_103	99.82		True
translocation
98057	98213	1521042	1521197	sa_ill_sa_contig11	contig_103	97.89		True
local misassembly
98340	98561	1521198	1521419	sa_ill_sa_contig11	contig_103	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1548033	1521420	sa_ill_sa_contig12	contig_103	99.3		True
local misassembly
46	44268	1592276	1548034	sa_ill_sa_contig12	contig_103	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1592277	1643009	sa_ill_sa_contig17	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1643010	1648004	sa_ill_sa_contig39	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1648005	1662377	sa_ill_sa_contig33	contig_103	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1663089	1662378	sa_ill_sa_contig55	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669782	1663090	sa_ill_sa_contig37	contig_103	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669809	1672648	sa_ill_sa_contig44	contig_103	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
