S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_104	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_104	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_104	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226434	3000	sa_ill_sa_contig1	contig_104	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226435	227764	sa_ill_sa_contig48	contig_104	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326398	227765	sa_ill_sa_contig11	contig_104	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326399	333479	sa_ill_sa_contig36	contig_104	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355284	333480	sa_ill_sa_contig30	contig_104	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355285	355996	sa_ill_sa_contig55	contig_104	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370206	355997	sa_ill_sa_contig34	contig_104	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370360	403346	sa_ill_sa_contig26	contig_104	99.83		True
local misassembly [fragmentation of reference genome]
2	925	403551	404469	sa_ill_sa_contig51	contig_104	97.95		True
translocation
198	3323	405024	408150	sa_ill_sa_contig41	contig_104	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408572	410172	sa_ill_sa_contig8	contig_104	99.41		True
translocation
1	28120	410173	438297	sa_ill_sa_contig28	contig_104	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438302	478053	sa_ill_sa_contig21	contig_104	99.89		True
local misassembly [fragmentation of reference genome]
98092	98471	478432	478054	sa_ill_sa_contig11	contig_104	97.97		True
translocation
1	62604	478433	540862	sa_ill_sa_contig14	contig_104	99.55		True
local misassembly
62396	62502	540912	541018	sa_ill_sa_contig14	contig_104	98.6		True
translocation
203	3323	541019	544136	sa_ill_sa_contig41	contig_104	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544554	546149	sa_ill_sa_contig8	contig_104	99.24		True
translocation
19	34443	580593	546150	sa_ill_sa_contig24	contig_104	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619372	580594	sa_ill_sa_contig22	contig_104	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619373	619905	sa_ill_sa_contig63	contig_104	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654276	619906	sa_ill_sa_contig25	contig_104	99.81		True
translocation
203	3323	654441	657558	sa_ill_sa_contig41	contig_104	99.65		True
fake: not a misassembly [fragmentation of reference genome]
