S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_103	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_103	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226414	3001	sa_ill_sa_contig1	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226415	227745	sa_ill_sa_contig48	contig_103	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326370	227746	sa_ill_sa_contig11	contig_103	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326371	333452	sa_ill_sa_contig36	contig_103	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355254	333453	sa_ill_sa_contig30	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355255	355966	sa_ill_sa_contig55	contig_103	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370179	355967	sa_ill_sa_contig34	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370333	403310	sa_ill_sa_contig26	contig_103	99.82		True
local misassembly [fragmentation of reference genome]
2	925	403515	404434	sa_ill_sa_contig51	contig_103	97.85		True
translocation
198	3323	404987	408112	sa_ill_sa_contig41	contig_103	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408534	410138	sa_ill_sa_contig8	contig_103	99.53		True
translocation
1	28120	410139	438255	sa_ill_sa_contig28	contig_103	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438260	477996	sa_ill_sa_contig21	contig_103	99.88		True
local misassembly [fragmentation of reference genome]
98092	98471	478375	477997	sa_ill_sa_contig11	contig_103	97.97		True
translocation
1	62604	478376	540811	sa_ill_sa_contig14	contig_103	99.56		True
local misassembly
62396	62502	540861	540967	sa_ill_sa_contig14	contig_103	98.6		True
translocation
203	3323	540968	544084	sa_ill_sa_contig41	contig_103	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544502	546098	sa_ill_sa_contig8	contig_103	99.18		True
translocation
19	34443	580538	546099	sa_ill_sa_contig24	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619335	580539	sa_ill_sa_contig22	contig_103	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619336	619868	sa_ill_sa_contig63	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654240	619869	sa_ill_sa_contig25	contig_103	99.81		True
translocation
203	3323	654405	657524	sa_ill_sa_contig41	contig_103	99.62		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657896	789914	sa_ill_sa_contig8	contig_103	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790256	939757	sa_ill_sa_contig5	contig_103	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939803	970716	sa_ill_sa_contig27	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970717	971523	sa_ill_sa_contig53	contig_103	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974558	971642	sa_ill_sa_contig43	contig_103	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988259	974559	sa_ill_sa_contig35	contig_103	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	988991	1114715	sa_ill_sa_contig10	contig_103	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114716	1115380	sa_ill_sa_contig60	contig_103	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1116983	1116500	sa_ill_sa_contig65	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137831	1116984	sa_ill_sa_contig32	contig_103	99.82		True
translocation
1	130429	1268192	1137832	sa_ill_sa_contig9	contig_103	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268193	1272776	sa_ill_sa_contig40	contig_103	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272777	1278098	sa_ill_sa_contig38	contig_103	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1282683	1278099	sa_ill_sa_contig40	contig_103	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308873	1282684	sa_ill_sa_contig29	contig_103	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309239	1310096	sa_ill_sa_contig54	contig_103	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312299	1310626	sa_ill_sa_contig46	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312300	1355822	sa_ill_sa_contig18	contig_103	99.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356355	1355823	sa_ill_sa_contig63	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356356	1499295	sa_ill_sa_contig6	contig_103	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499449	1520504	sa_ill_sa_contig31	contig_103	99.9		True
translocation
98057	98213	1520505	1520661	sa_ill_sa_contig11	contig_103	98.58		True
local misassembly
98340	98561	1520662	1520883	sa_ill_sa_contig11	contig_103	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1547481	1520884	sa_ill_sa_contig12	contig_103	99.3		True
local misassembly
46	44268	1591718	1547482	sa_ill_sa_contig12	contig_103	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1591719	1642438	sa_ill_sa_contig17	contig_103	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1642439	1647435	sa_ill_sa_contig39	contig_103	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1647436	1661797	sa_ill_sa_contig33	contig_103	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1662509	1661798	sa_ill_sa_contig55	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669201	1662510	sa_ill_sa_contig37	contig_103	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669228	1672068	sa_ill_sa_contig44	contig_103	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
