S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_103	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_103	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226421	3000	sa_ill_sa_contig1	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226422	227751	sa_ill_sa_contig48	contig_103	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326388	227752	sa_ill_sa_contig11	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326389	333471	sa_ill_sa_contig36	contig_103	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355265	333472	sa_ill_sa_contig30	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355266	355977	sa_ill_sa_contig55	contig_103	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370188	355978	sa_ill_sa_contig34	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370341	403317	sa_ill_sa_contig26	contig_103	99.87		True
local misassembly [fragmentation of reference genome]
2	925	403522	404438	sa_ill_sa_contig51	contig_103	97.95		True
translocation
198	3323	404992	408117	sa_ill_sa_contig41	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408539	410143	sa_ill_sa_contig8	contig_103	99.65		True
translocation
1	28120	410144	438266	sa_ill_sa_contig28	contig_103	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438271	478011	sa_ill_sa_contig21	contig_103	99.92		True
local misassembly [fragmentation of reference genome]
98092	98471	478390	478012	sa_ill_sa_contig11	contig_103	97.97		True
translocation
1	62604	478391	540852	sa_ill_sa_contig14	contig_103	99.68		True
local misassembly
62396	62502	540902	541008	sa_ill_sa_contig14	contig_103	98.6		True
translocation
203	3323	541009	544127	sa_ill_sa_contig41	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544545	546147	sa_ill_sa_contig8	contig_103	99.59		True
translocation
19	34443	580579	546148	sa_ill_sa_contig24	contig_103	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619367	580580	sa_ill_sa_contig22	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619368	619900	sa_ill_sa_contig63	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654279	619901	sa_ill_sa_contig25	contig_103	99.89		True
translocation
203	3323	654444	657564	sa_ill_sa_contig41	contig_103	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657936	789969	sa_ill_sa_contig8	contig_103	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790311	939799	sa_ill_sa_contig5	contig_103	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939845	970749	sa_ill_sa_contig27	contig_103	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970750	971555	sa_ill_sa_contig53	contig_103	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974596	971674	sa_ill_sa_contig43	contig_103	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988295	974597	sa_ill_sa_contig35	contig_103	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989027	1114753	sa_ill_sa_contig10	contig_103	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114754	1115418	sa_ill_sa_contig60	contig_103	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117021	1116538	sa_ill_sa_contig65	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137853	1117022	sa_ill_sa_contig32	contig_103	99.92		True
translocation
1	130429	1268238	1137854	sa_ill_sa_contig9	contig_103	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268239	1272821	sa_ill_sa_contig40	contig_103	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272822	1278144	sa_ill_sa_contig38	contig_103	99.89		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1282725	1278145	sa_ill_sa_contig40	contig_103	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308909	1282726	sa_ill_sa_contig29	contig_103	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309275	1310131	sa_ill_sa_contig54	contig_103	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312334	1310661	sa_ill_sa_contig46	contig_103	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312335	1355861	sa_ill_sa_contig18	contig_103	99.43		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356394	1355862	sa_ill_sa_contig63	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356395	1499302	sa_ill_sa_contig6	contig_103	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499456	1520507	sa_ill_sa_contig31	contig_103	99.91		True
translocation
98057	98213	1520508	1520664	sa_ill_sa_contig11	contig_103	98.58		True
local misassembly
98340	98561	1520665	1520886	sa_ill_sa_contig11	contig_103	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1547488	1520887	sa_ill_sa_contig12	contig_103	99.36		True
local misassembly
46	44268	1591721	1547489	sa_ill_sa_contig12	contig_103	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1591722	1642449	sa_ill_sa_contig17	contig_103	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1642450	1647442	sa_ill_sa_contig39	contig_103	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1647443	1661812	sa_ill_sa_contig33	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1662523	1661813	sa_ill_sa_contig55	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669212	1662524	sa_ill_sa_contig37	contig_103	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669238	1672077	sa_ill_sa_contig44	contig_103	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
