All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v3_1_MP  r10_1bin_v3_1_MP_helen  r10_1bin_v3_1_r1_medaka  r10_1bin_v3_1_r2_medaka  r10_1bin_v3_1_racon_r1  r10_1bin_v3_1_racon_r2  r10_1bin_v3_1_raw  r10_1bin_v3_2_MP  r10_1bin_v3_2_MP_helen  r10_1bin_v3_2_r1_medaka  r10_1bin_v3_2_r2_medaka  r10_1bin_v3_2_racon_r1  r10_1bin_v3_2_racon_r2  r10_1bin_v3_2_raw  r10_1bin_v3_3_MP  r10_1bin_v3_3_MP_helen  r10_1bin_v3_3_r1_medaka  r10_1bin_v3_3_r2_medaka  r10_1bin_v3_3_racon_r1  r10_1bin_v3_3_racon_r2  r10_1bin_v3_3_raw
# misassemblies                                 15                15                      15                       15                       15                      15                      19                 15                16                      15                       15                       15                      15                      18                 15                16                      15                       15                       15                      15                      18               
  # contig misassemblies                        15                15                      15                       15                       15                      15                      19                 15                16                      15                       15                       15                      15                      18                 15                16                      15                       15                       15                      15                      18               
    # c. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # c. translocations                         13                13                      13                       13                       13                      13                      17                 13                14                      13                       13                       13                      13                      16                 13                14                      13                       13                       13                      13                      16               
    # c. inversions                             2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     4758942           4758045                 4758082                  4757996                  4757676                 4757433                 4756098            4758934           4757811                 4759010                  4758465                  4757950                 4757851                 4756089            4758933           4757839                 4759025                  4758469                  4757998                 4757867                 4756074          
# possibly misassembled contigs                 1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # possible misassemblies                    6                 4                       4                        4                        4                       4                       14                 6                 4                       4                        4                        4                       4                       14                 6                 4                       4                        4                        4                       4                       14               
# local misassemblies                           8                 8                       7                        7                        8                       7                       20                 8                 8                       8                        7                        8                       8                       22                 8                 8                       8                        7                        8                       8                       20               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  14                14                      14                       14                       14                      14                      11                 14                14                      14                       14                       14                      14                      10                 14                14                      14                       14                       14                      14                      11               
# unaligned mis. contigs                        6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                
# mismatches                                    19475             19346                   19038                    19060                    19639                   19970                   21627              19315             19181                   19399                    19474                    19198                   19535                   21647              19286             19173                   19500                    19564                    19498                   19813                   21762            
# indels                                        989               713                     523                      526                      1898                    1742                    10515              991               762                     1078                     1069                     1852                    1743                    10509              978               748                     1092                     1076                     1860                    1729                    10562            
    # indels (<= 5 bp)                          890               617                     432                      436                      1807                    1650                    10334              895               661                     988                      978                      1759                    1652                    10332              881               648                     1002                     985                      1768                    1639                    10386            
    # indels (> 5 bp)                           99                96                      91                       90                       91                      92                      181                96                101                     90                       91                       93                      91                      177                97                100                     90                       91                       92                      90                      176              
Indels length                                   5605              5283                    5081                     5003                     6546                    6358                    19306              5552              5335                    5531                     5577                     6473                    6306                    19191              5528              5302                    5553                     5585                     6485                    6279                    19264            
