Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	    # c. interspecies translocations	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	    # s. interspecies translocations	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
MP_helen_r10_bins_1	168	168	4	162	2	0	0	0	0	0	0	8	30861647	7	98	120	0	0	251	0	50998	7405	6722	683	42042
MP_helen_r10_bins_2	170	170	5	163	2	0	0	0	0	0	0	8	30864927	7	96	114	0	0	252	0	50343	6480	5834	646	40462
MP_helen_r10_bins_3	169	169	4	163	2	0	0	0	0	0	0	8	30862476	7	98	118	0	0	251	0	50872	6655	6000	655	40455
MP_r10_bins_1	171	171	6	163	2	0	0	0	0	0	0	8	30867341	7	98	116	0	0	252	0	53517	11727	11073	654	46191
MP_r10_bins_2	168	168	5	161	2	0	0	0	0	0	0	8	30868189	7	98	115	0	0	253	0	52607	11621	10974	647	45867
MP_r10_bins_3	171	171	6	163	2	0	0	0	0	0	0	8	30867430	7	98	116	0	0	252	0	53047	11720	11072	648	45751
r1_medaka_r10_bins_1	171	171	4	165	2	0	0	0	0	0	0	8	30864833	7	96	129	0	0	250	0	54237	8054	7462	592	40692
r1_medaka_r10_bins_2	168	168	5	161	2	0	0	0	0	0	0	8	30867104	7	96	129	0	0	251	0	53891	8154	7549	605	41364
r1_medaka_r10_bins_3	170	170	4	164	2	0	0	0	0	0	0	8	30865019	7	98	127	0	0	250	0	54207	8236	7643	593	41072
r2_medaka_r10_bins_1	169	169	5	162	2	0	0	0	0	0	0	8	30857195	7	102	140	0	0	253	0	52863	7955	7361	594	40540
r2_medaka_r10_bins_2	171	171	6	163	2	0	0	0	0	0	0	8	30860390	7	96	131	0	0	252	0	52524	7922	7320	602	40765
r2_medaka_r10_bins_3	170	170	5	163	2	0	0	0	0	0	0	8	30858038	7	98	137	0	0	252	0	53072	8124	7533	591	40643
racon_r1_r10_bins_1	174	174	4	168	2	0	0	0	0	0	0	8	30851337	7	96	154	0	0	248	0	53742	18811	18181	630	55906
racon_r1_r10_bins_2	168	168	5	161	2	0	0	0	0	0	0	8	30856276	7	100	148	0	0	247	0	53116	18769	18102	667	56587
racon_r1_r10_bins_3	175	175	4	169	2	0	0	0	0	0	0	8	30850927	7	92	154	0	0	248	0	53486	18781	18154	627	55359
racon_r2_r10_bins_1	170	170	5	163	2	0	0	0	0	0	0	8	30846769	7	96	141	0	0	251	0	53957	17543	16910	633	53952
racon_r2_r10_bins_2	173	173	6	165	2	0	0	0	0	0	0	8	30852342	7	92	135	0	0	247	0	53365	17759	17101	658	55510
racon_r2_r10_bins_3	171	171	5	164	2	0	0	0	0	0	0	8	30844210	7	96	147	0	0	249	0	54197	17328	16687	641	53006
raw_r10_bins_1	173	173	5	164	2	2	0	0	0	0	0	8	30847938	8	169	211	0	0	178	0	81762	92537	91315	1222	155914
raw_r10_bins_2	172	172	6	162	2	2	0	0	0	0	0	8	30850309	8	166	210	0	0	181	0	82733	93619	92409	1210	158186
raw_r10_bins_3	174	174	5	165	2	2	0	0	0	0	0	8	30849039	8	177	220	0	0	173	0	82635	92935	91728	1207	156087
