Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 10000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 25000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 50000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Total length (>= 5000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	24061097	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Total length (>= 10000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	24061097	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Total length (>= 25000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	24061097	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Total length (>= 50000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	24061097	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
# contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Largest contig	4765357	4765332	4765357	4765355	4764584	4764687	4763514	4765355	4765369	4765398	4765353	4764761	4764686	4763493	4765363	4765342	4765361	4765354	4764595	4764670	4763481
Total length	24074317	24069448	24072005	24061370	24059821	24053939	24061097	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Reference length	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294
GC (%)	44.80	44.80	44.80	44.79	44.79	44.79	44.77	44.80	44.80	44.80	44.80	44.79	44.79	44.77	44.80	44.80	44.80	44.80	44.79	44.78	44.77
Reference GC (%)	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44
N50	4045600	4045625	4045591	4045593	4045204	4045287	4043049	4045597	4045613	4045604	4045605	4045243	4045295	4043007	4045597	4045617	4045586	4045593	4045248	4045340	4042483
NG50	4765357	4765332	4765357	4765355	4764584	4764687	4763514	4765355	4765369	4765398	4765353	4764761	4764686	4763493	4765363	4765342	4765361	4765354	4764595	4764670	4763481
N75	2845424	2845372	2845429	2845427	2845272	2845846	2843858	2845424	2845368	2845428	2845430	2845282	2845321	2843857	2845424	2845363	2845431	2845427	2845312	2845321	2843845
NG75	4765357	4765332	4765357	4765355	4764584	4764687	4763514	4765355	4765369	4765398	4765353	4764761	4764686	4763493	4765363	4765342	4765361	4765354	4764595	4764670	4763481
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2845424	2845372	2845429	2845427	2845272	2845846	2843858	2845424	2845368	2845428	2845430	2845282	2845321	2843857	2845424	2845363	2845431	2845427	2845312	2845321	2843845
# local misassemblies	16	16	16	16	16	17	19	16	16	16	16	16	16	20	16	16	16	16	16	16	20
