S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337894	bs_ill_bs_contig2	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338878	338745	bs_ill_bs_contig20	contig_13	100.0		True
translocation
56	319	339544	339280	bs_ill_bs_contig13	contig_13	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339545	340696	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340698	341608	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342331	341610	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343684	342703	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343685	343969	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	257004	601123	344070	bs_ill_bs_contig8	contig_13	99.98		True
translocation
1	599	601722	601124	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602281	601724	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	29697	631975	602282	bs_ill_bs_contig18	contig_13	99.96		True
translocation
56	393	632313	631976	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632314	633465	bs_ill_bs_contig839	contig_13	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633467	634377	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635100	634379	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636398	635472	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636399	961871	bs_ill_bs_contig3	contig_13	99.94		True
translocation
1	599	962470	961872	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	963030	962472	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	104023	963031	1067054	bs_ill_bs_contig12	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085559	1067208	bs_ill_bs_contig20	contig_13	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085773	1086924	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086926	1087836	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088559	1087838	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089912	1088931	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089913	1090288	bs_ill_bs_contig3	contig_13	99.54		True
translocation
56	453	1090773	1090376	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090774	1091925	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091927	1092837	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093560	1092839	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094913	1093932	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094914	1095289	bs_ill_bs_contig3	contig_13	99.54		True
local misassembly
521	601	1095551	1095631	bs_ill_bs_contig3	contig_13	100.0		True
translocation
56	449	1096386	1095993	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096387	1097538	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097540	1098450	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099173	1098452	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100526	1099545	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100527	1100846	bs_ill_bs_contig3	contig_13	99.77		True
translocation
1	60136	1160983	1100847	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160984	1162079	bs_ill_bs_contig839	contig_13	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1162081	1162991	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163714	1162993	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1165067	1164086	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1165068	1165353	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	536	1166335	1165800	bs_ill_bs_contig1326	contig_13	100.0		True
translocation
56	453	1166850	1166452	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166851	1168002	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1168004	1168914	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169637	1168916	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170990	1170009	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170991	1171276	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	55215	1226586	1171372	bs_ill_bs_contig15	contig_13	100.0		True
translocation
328	395	1226654	1226587	bs_ill_bs_contig13	contig_13	100.0		True
local misassembly
56	274	1227007	1226789	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1227008	1228159	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228161	1229071	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229794	1229073	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231324	1230343	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231325	1231611	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	15524	1247222	1231699	bs_ill_bs_contig21	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247620	1248771	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248773	1249683	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250406	1249685	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251936	1250955	bs_ill_bs_contig933	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1312059	1252190	bs_ill_bs_contig14	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312290	2021216	bs_ill_bs_contig1	contig_13	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021218	2021816	bs_ill_bs_contig2	contig_13	99.41		True
translocation
1	263211	2285026	2021817	bs_ill_bs_contig7	contig_13	100.0		True
translocation
1	620	2285646	2285027	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	2286205	2285648	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	38370	2324575	2286206	bs_ill_bs_contig16	contig_13	100.0		True
translocation
56	341	2324861	2324576	bs_ill_bs_contig3	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2324862	2325843	bs_ill_bs_contig933	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2326215	2326936	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2327848	2326938	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	2329001	2327850	bs_ill_bs_contig839	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2329002	2329220	bs_ill_bs_contig13	contig_13	100.0		True
local misassembly
328	453	2329355	2329480	bs_ill_bs_contig13	contig_13	100.0		True
translocation
1	536	2329625	2330133	bs_ill_bs_contig1326	contig_13	90.26		True
fake: not a misassembly [fragmentation of reference genome]
1	37065	2368489	2331425	bs_ill_bs_contig17	contig_13	100.0		True
translocation
708489	709047	2368490	2369048	bs_ill_bs_contig1	contig_13	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2369050	2369648	bs_ill_bs_contig2	contig_13	99.26		True
translocation
1	315068	2369649	2684719	bs_ill_bs_contig4	contig_13	100.0		True
translocation
708490	709047	2684720	2685277	bs_ill_bs_contig1	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2685279	2685878	bs_ill_bs_contig2	contig_13	99.11		True
translocation
1	294381	2980259	2685879	bs_ill_bs_contig5	contig_13	100.0		True
translocation
1	618	2980877	2980260	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	2981437	2980879	bs_ill_bs_contig1	contig_13	99.84		True
translocation
114	252570	3234011	2981438	bs_ill_bs_contig9	contig_13	99.94		True
local misassembly
34	329	3234307	3234012	bs_ill_bs_contig9	contig_13	99.03		True
local misassembly [fragmentation of reference genome]
1	609	3234415	3235023	bs_ill_bs_contig1250	contig_13	100.0		True
translocation
155978	156135	3235181	3235024	bs_ill_bs_contig10	contig_13	98.37		True
local misassembly
155994	156223	3235543	3235314	bs_ill_bs_contig10	contig_13	96.52		True
local misassembly
156140	156290	3235730	3235580	bs_ill_bs_contig10	contig_13	94.7		True
local misassembly
156684	156751	3235933	3235866	bs_ill_bs_contig10	contig_13	98.53		True
local misassembly
156140	156408	3236234	3235966	bs_ill_bs_contig10	contig_13	96.28		True
translocation
59	507	3236471	3236910	bs_ill_bs_contig1250	contig_13	97.77		True
translocation
156423	156786	3237274	3236911	bs_ill_bs_contig10	contig_13	92.08		True
local misassembly
156234	156335	3237616	3237515	bs_ill_bs_contig10	contig_13	93.14		True
indel: indel (> 5bp)
155978	156197	3237836	3237617	bs_ill_bs_contig10	contig_13	99.55		True
local misassembly
156077	156223	3238115	3237969	bs_ill_bs_contig10	contig_13	97.96		True
local misassembly
156590	156939	3238529	3238180	bs_ill_bs_contig10	contig_13	100.0		True
local misassembly
1	156862	3395631	3238770	bs_ill_bs_contig10	contig_13	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	2262	3396010	3398271	bs_ill_bs_contig411	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	269408	3668229	3398826	bs_ill_bs_contig6	contig_13	100.0		True
translocation
1	599	3668828	3668230	bs_ill_bs_contig2	contig_13	98.06		True
fake: not a misassembly [fragmentation of reference genome]
708516	709047	3669361	3668830	bs_ill_bs_contig1	contig_13	98.81		True
translocation
1	137190	3669362	3806548	bs_ill_bs_contig11	contig_13	100.0		True
translocation
1	574	3807122	3806549	bs_ill_bs_contig2	contig_13	97.62		True
fake: not a misassembly [fragmentation of reference genome]
708549	709047	3807622	3807124	bs_ill_bs_contig1	contig_13	98.69		True
translocation
1	23242	3830863	3807623	bs_ill_bs_contig19	contig_13	100.0		True
translocation
708485	709047	3830864	3831426	bs_ill_bs_contig1	contig_13	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	214348	3831428	4045613	bs_ill_bs_contig2	contig_13	99.92		True
CONTIG	contig_13	4045613	misassembled
18672	18790	268381	268263	bs_ill_bs_contig13	contig_26	90.76		True
unknown
1	277	286251	285975	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	286197	287261	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	287456	288264	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	288905	288269	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	290415	289452	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	133	290361	290493	bs_ill_bs_contig3	contig_26	91.73		True
unknown
159	246	290519	290606	bs_ill_bs_contig3	contig_26	90.91		True
unknown
266	333	290628	290695	bs_ill_bs_contig3	contig_26	95.59		True
unknown
1	277	292270	291994	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	292216	293280	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	293475	294283	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	294924	294288	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	296434	295471	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	133	296380	296512	bs_ill_bs_contig3	contig_26	91.73		True
unknown
159	246	296538	296625	bs_ill_bs_contig3	contig_26	90.91		True
unknown
266	333	296647	296714	bs_ill_bs_contig3	contig_26	95.59		True
unknown
1	277	529821	529545	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	529767	530831	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	531026	531834	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	532475	531839	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	534236	533273	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	4776	679057	674357	bs_ill_bs_contig89	contig_26	97.49		True
unknown
1	966	1078024	1078987	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1079785	1080421	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1081234	1080426	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1082493	1081429	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1082439	1082715	bs_ill_bs_contig13	contig_26	91.07		True
unknown
266	333	1676323	1676256	bs_ill_bs_contig3	contig_26	95.59		True
unknown
159	246	1676432	1676345	bs_ill_bs_contig3	contig_26	90.91		True
unknown
1	133	1676590	1676458	bs_ill_bs_contig3	contig_26	91.73		True
unknown
1	966	1676536	1677499	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1678046	1678682	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1679495	1678687	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1680754	1679690	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1680700	1680976	bs_ill_bs_contig13	contig_26	91.07		True
unknown
266	333	1781000	1780933	bs_ill_bs_contig3	contig_26	95.59		True
unknown
