S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337893	bs_ill_bs_contig2	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338877	338744	bs_ill_bs_contig20	contig_13	100.0		True
translocation
56	319	339543	339279	bs_ill_bs_contig13	contig_13	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339544	340695	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340697	341607	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342330	341609	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343683	342702	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343684	343968	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	257004	601122	344069	bs_ill_bs_contig8	contig_13	99.98		True
translocation
1	599	601721	601123	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602280	601723	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	29697	631974	602281	bs_ill_bs_contig18	contig_13	99.96		True
translocation
56	393	632312	631975	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632313	633464	bs_ill_bs_contig839	contig_13	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633466	634376	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635099	634378	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636397	635471	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636398	961868	bs_ill_bs_contig3	contig_13	99.94		True
translocation
1	599	962467	961869	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	963027	962469	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	104023	963028	1067048	bs_ill_bs_contig12	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085553	1067202	bs_ill_bs_contig20	contig_13	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085767	1086918	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086920	1087830	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088553	1087832	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089905	1088925	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089906	1090281	bs_ill_bs_contig3	contig_13	99.54		True
translocation
56	453	1090766	1090369	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090767	1091918	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091920	1092830	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093553	1092832	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094906	1093925	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094907	1095282	bs_ill_bs_contig3	contig_13	99.54		True
local misassembly
521	601	1095544	1095624	bs_ill_bs_contig3	contig_13	100.0		True
translocation
56	449	1096379	1095986	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096380	1097531	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097533	1098443	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099166	1098445	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100518	1099538	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100519	1100838	bs_ill_bs_contig3	contig_13	99.77		True
translocation
1	60136	1160975	1100839	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160976	1162072	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1162074	1162984	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163707	1162986	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1165060	1164079	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1165061	1165346	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	536	1166328	1165793	bs_ill_bs_contig1326	contig_13	100.0		True
translocation
56	453	1166843	1166445	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166844	1167995	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1167997	1168907	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169630	1168909	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170983	1170002	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170984	1171269	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	55215	1226579	1171365	bs_ill_bs_contig15	contig_13	100.0		True
translocation
328	395	1226647	1226580	bs_ill_bs_contig13	contig_13	100.0		True
local misassembly
147	274	1226909	1226782	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (<= 5bp)
56	145	1226999	1226910	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1227000	1228151	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228153	1229063	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229786	1229065	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231316	1230335	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231317	1231603	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	15524	1247214	1231691	bs_ill_bs_contig21	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247612	1248763	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248765	1249675	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250398	1249677	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251928	1250947	bs_ill_bs_contig933	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1312051	1252182	bs_ill_bs_contig14	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312282	2021211	bs_ill_bs_contig1	contig_13	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021213	2021811	bs_ill_bs_contig2	contig_13	99.41		True
translocation
1	263211	2285022	2021812	bs_ill_bs_contig7	contig_13	100.0		True
translocation
1	620	2285642	2285023	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	2286201	2285644	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	38370	2324571	2286202	bs_ill_bs_contig16	contig_13	100.0		True
translocation
56	341	2324857	2324572	bs_ill_bs_contig3	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2324858	2325839	bs_ill_bs_contig933	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2326211	2326932	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2327844	2326934	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	2328997	2327846	bs_ill_bs_contig839	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2328998	2329216	bs_ill_bs_contig13	contig_13	100.0		True
local misassembly
328	453	2329351	2329476	bs_ill_bs_contig13	contig_13	100.0		True
translocation
1	536	2329621	2330129	bs_ill_bs_contig1326	contig_13	90.26		True
fake: not a misassembly [fragmentation of reference genome]
1	37065	2368484	2331421	bs_ill_bs_contig17	contig_13	100.0		True
translocation
708489	709047	2368485	2369043	bs_ill_bs_contig1	contig_13	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2369045	2369643	bs_ill_bs_contig2	contig_13	99.26		True
translocation
1	315068	2369644	2684706	bs_ill_bs_contig4	contig_13	100.0		True
translocation
708490	709047	2684707	2685264	bs_ill_bs_contig1	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2685266	2685865	bs_ill_bs_contig2	contig_13	99.11		True
translocation
1	294381	2980246	2685866	bs_ill_bs_contig5	contig_13	100.0		True
translocation
1	618	2980864	2980247	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	2981424	2980866	bs_ill_bs_contig1	contig_13	99.84		True
translocation
114	252570	3233997	2981425	bs_ill_bs_contig9	contig_13	99.94		True
local misassembly
34	329	3234293	3233998	bs_ill_bs_contig9	contig_13	99.03		True
local misassembly [fragmentation of reference genome]
1	609	3234401	3235009	bs_ill_bs_contig1250	contig_13	100.0		True
translocation
155978	156135	3235167	3235010	bs_ill_bs_contig10	contig_13	98.37		True
local misassembly
155994	156223	3235529	3235300	bs_ill_bs_contig10	contig_13	96.52		True
local misassembly
156140	156290	3235716	3235566	bs_ill_bs_contig10	contig_13	94.7		True
local misassembly
156684	156751	3235919	3235852	bs_ill_bs_contig10	contig_13	98.53		True
local misassembly
156140	156408	3236220	3235952	bs_ill_bs_contig10	contig_13	96.28		True
translocation
59	507	3236457	3236896	bs_ill_bs_contig1250	contig_13	97.77		True
translocation
156423	156786	3237260	3236897	bs_ill_bs_contig10	contig_13	92.08		True
local misassembly
156234	156335	3237602	3237501	bs_ill_bs_contig10	contig_13	93.14		True
indel: indel (> 5bp)
155978	156197	3237822	3237603	bs_ill_bs_contig10	contig_13	99.55		True
local misassembly
156077	156223	3238101	3237955	bs_ill_bs_contig10	contig_13	97.96		True
local misassembly
156590	156939	3238515	3238166	bs_ill_bs_contig10	contig_13	100.0		True
local misassembly
1	156862	3395617	3238756	bs_ill_bs_contig10	contig_13	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	2262	3395996	3398257	bs_ill_bs_contig411	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	269408	3668219	3398812	bs_ill_bs_contig6	contig_13	100.0		True
translocation
1	599	3668818	3668220	bs_ill_bs_contig2	contig_13	98.06		True
fake: not a misassembly [fragmentation of reference genome]
708516	709047	3669351	3668820	bs_ill_bs_contig1	contig_13	98.81		True
translocation
1	137190	3669352	3806541	bs_ill_bs_contig11	contig_13	100.0		True
translocation
1	574	3807115	3806542	bs_ill_bs_contig2	contig_13	97.62		True
fake: not a misassembly [fragmentation of reference genome]
708549	709047	3807615	3807117	bs_ill_bs_contig1	contig_13	98.69		True
translocation
1	23242	3830856	3807616	bs_ill_bs_contig19	contig_13	100.0		True
translocation
708485	709047	3830857	3831419	bs_ill_bs_contig1	contig_13	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	214348	3831421	4045605	bs_ill_bs_contig2	contig_13	99.92		True
CONTIG	contig_13	4045605	misassembled
18672	18790	268374	268256	bs_ill_bs_contig13	contig_26	90.76		True
unknown
1	277	286244	285968	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	286190	287254	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	287449	288257	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	288898	288262	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	290408	289445	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	133	290354	290486	bs_ill_bs_contig3	contig_26	91.73		True
unknown
159	246	290512	290599	bs_ill_bs_contig3	contig_26	90.91		True
unknown
266	333	290621	290688	bs_ill_bs_contig3	contig_26	95.59		True
unknown
1	277	292263	291987	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	292209	293273	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	293468	294276	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	294917	294281	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	296427	295464	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	133	296373	296505	bs_ill_bs_contig3	contig_26	91.73		True
unknown
159	246	296531	296618	bs_ill_bs_contig3	contig_26	90.91		True
unknown
266	333	296640	296707	bs_ill_bs_contig3	contig_26	95.59		True
unknown
1	277	529814	529538	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	529760	530824	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	531019	531827	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	532468	531832	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	534229	533266	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	4776	679048	674349	bs_ill_bs_contig89	contig_26	97.51		True
unknown
1	966	1078027	1078990	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1079788	1080424	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1081237	1080429	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1082496	1081432	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1082442	1082718	bs_ill_bs_contig13	contig_26	91.07		True
unknown
266	333	1676328	1676261	bs_ill_bs_contig3	contig_26	95.59		True
unknown
159	246	1676437	1676350	bs_ill_bs_contig3	contig_26	90.91		True
unknown
1	133	1676595	1676463	bs_ill_bs_contig3	contig_26	91.73		True
unknown
1	966	1676541	1677504	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1678051	1678687	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1679500	1678692	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1680759	1679695	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1680705	1680981	bs_ill_bs_contig13	contig_26	91.07		True
unknown
266	333	1781005	1780938	bs_ill_bs_contig3	contig_26	95.59		True
unknown
159	246	1781114	1781027	bs_ill_bs_contig3	contig_26	90.91		True
unknown
1	133	1781272	1781140	bs_ill_bs_contig3	contig_26	91.73		True
unknown
1	966	1781218	1782181	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1782728	1783364	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1784177	1783369	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1785436	1784372	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1785382	1785658	bs_ill_bs_contig13	contig_26	91.07		True
unknown
CONTIG	contig_26	2992072	mis_unaligned
8	169	405476	405315	bs_ill_bs_contig13	contig_96	95.06		True
unknown
1	1068	405429	406495	bs_ill_bs_contig839	contig_96	93.83		True
unknown
1	982	409874	408893	bs_ill_bs_contig933	contig_96	92.93		True
unknown
1	1068	541446	542512	bs_ill_bs_contig839	contig_96	93.83		True
unknown
1	982	545887	544905	bs_ill_bs_contig933	contig_96	92.93		True
unknown
1	1068	654891	655957	bs_ill_bs_contig839	contig_96	93.92		True
unknown
1	982	659285	658303	bs_ill_bs_contig933	contig_96	92.73		True
unknown
2	120	659232	659350	bs_ill_bs_contig3	contig_96	90.76		True
unknown
261	334	659492	659565	bs_ill_bs_contig3	contig_96	93.24		True
unknown
1	982	1715147	1716128	bs_ill_bs_contig933	contig_96	92.83		True
unknown
95	184	1716866	1716955	bs_ill_bs_contig1146	contig_96	91.11		True
unknown
493	720	1717263	1717490	bs_ill_bs_contig1146	contig_96	96.05		True
unknown
1	1068	1719557	1718490	bs_ill_bs_contig839	contig_96	93.83		True
unknown
1	982	1759762	1760744	bs_ill_bs_contig933	contig_96	92.73		True
unknown
95	183	1761424	1761512	bs_ill_bs_contig1146	contig_96	91.01		True
unknown
493	720	1761821	1762048	bs_ill_bs_contig1146	contig_96	96.05		True
unknown
1	1068	1764115	1763048	bs_ill_bs_contig839	contig_96	93.83		True
unknown
1	982	1765018	1766001	bs_ill_bs_contig933	contig_96	92.84		True
unknown
1	1068	1769337	1768272	bs_ill_bs_contig839	contig_96	93.83		True
unknown
8	169	1769290	1769451	bs_ill_bs_contig13	contig_96	95.06		True
unknown
CONTIG	contig_96	2719633	mis_unaligned
1	965	604599	605562	bs_ill_bs_contig933	contig_102	93.89		True
unknown
95	215	606204	606324	bs_ill_bs_contig1146	contig_102	92.56		True
unknown
483	720	606584	606821	bs_ill_bs_contig1146	contig_102	93.28		True
unknown
666	889	607070	606847	bs_ill_bs_contig991	contig_102	91.52		True
unknown
337	569	607400	607168	bs_ill_bs_contig991	contig_102	93.56		True
unknown
108	329	607632	607411	bs_ill_bs_contig991	contig_102	91.44		True
unknown
1	1065	608880	607829	bs_ill_bs_contig839	contig_102	92.31		True
unknown
9	171	608834	608996	bs_ill_bs_contig13	contig_102	93.25		True
unknown
9	171	2112848	2112686	bs_ill_bs_contig13	contig_102	93.25		True
unknown
1	1065	2112802	2113853	bs_ill_bs_contig839	contig_102	92.31		True
unknown
108	329	2114050	2114271	bs_ill_bs_contig991	contig_102	91.44		True
unknown
337	569	2114282	2114514	bs_ill_bs_contig991	contig_102	93.56		True
unknown
666	889	2114612	2114835	bs_ill_bs_contig991	contig_102	91.07		True
unknown
483	720	2115098	2114861	bs_ill_bs_contig1146	contig_102	93.28		True
unknown
95	215	2115478	2115358	bs_ill_bs_contig1146	contig_102	93.39		True
unknown
1	965	2116981	2116018	bs_ill_bs_contig933	contig_102	93.89		True
unknown
33226	33297	2171635	2171564	bs_ill_bs_contig13	contig_102	95.83		True
unknown
32338	32486	2172523	2172375	bs_ill_bs_contig13	contig_102	91.95		True
unknown
1	965	2387663	2388626	bs_ill_bs_contig933	contig_102	93.89		True
unknown
95	215	2389166	2389286	bs_ill_bs_contig1146	contig_102	93.39		True
unknown
483	720	2389546	2389783	bs_ill_bs_contig1146	contig_102	93.28		True
unknown
666	889	2390032	2389809	bs_ill_bs_contig991	contig_102	91.52		True
unknown
337	569	2390362	2390130	bs_ill_bs_contig991	contig_102	93.56		True
unknown
108	329	2390594	2390373	bs_ill_bs_contig991	contig_102	91.44		True
unknown
1	1065	2391842	2390791	bs_ill_bs_contig839	contig_102	92.31		True
unknown
1	965	2830793	2831756	bs_ill_bs_contig933	contig_102	93.89		True
unknown
95	215	2832398	2832518	bs_ill_bs_contig1146	contig_102	93.39		True
unknown
483	720	2832778	2833015	bs_ill_bs_contig1146	contig_102	93.28		True
unknown
666	889	2833264	2833041	bs_ill_bs_contig991	contig_102	91.07		True
unknown
