All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v3_1_MP  r10_1bin_v3_1_MP_helen  r10_1bin_v3_1_r1_medaka  r10_1bin_v3_1_r2_medaka  r10_1bin_v3_1_racon_r1  r10_1bin_v3_1_racon_r2  r10_1bin_v3_1_raw  r10_1bin_v3_2_MP  r10_1bin_v3_2_MP_helen  r10_1bin_v3_2_r1_medaka  r10_1bin_v3_2_r2_medaka  r10_1bin_v3_2_racon_r1  r10_1bin_v3_2_racon_r2  r10_1bin_v3_2_raw  r10_1bin_v3_3_MP  r10_1bin_v3_3_MP_helen  r10_1bin_v3_3_r1_medaka  r10_1bin_v3_3_r2_medaka  r10_1bin_v3_3_racon_r1  r10_1bin_v3_3_racon_r2  r10_1bin_v3_3_raw
# misassemblies                                 1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
  # contig misassemblies                        1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # c. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # c. translocations                         1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # c. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     2845421           2845364                 2845429                  2845429                  2845295                 2845304                 2843358            2845423           2845360                 2845571                  2845564                  2845301                 2845301                 2843368            2845422           2845361                 2845572                  2845563                  2845260                 2845299                 2843358          
# possibly misassembled contigs                 0                 0                       0                        0                        0                       0                       1                  0                 0                       0                        0                        0                       0                       1                  0                 0                       0                        0                        0                       0                       1                
    # possible misassemblies                    0                 0                       0                        0                        0                       0                       6                  0                 0                       0                        0                        0                       0                       6                  0                 0                       0                        0                        0                       0                       6                
# local misassemblies                           16                16                      16                       16                       16                      16                      21                 16                15                      16                       16                       16                      16                      21                 16                16                      16                       16                       16                      16                      21               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  19                19                      19                       19                       19                      19                      11                 19                19                      19                       19                       19                      19                      11                 19                19                      19                       19                       19                      19                      11               
# unaligned mis. contigs                        6                 6                       6                        6                        5                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                
# mismatches                                    7003              7086                    7014                     6985                     6573                    6668                    4310               7022              7116                    6998                     7049                     6719                    6971                    4133               7028              7126                    6993                     7074                     6485                    6952                    4089             
# indels                                        442               440                     393                      381                      614                     550                     3556               451               440                     551                      522                      651                     646                     3597               450               438                     547                      537                      603                     646                     3583             
    # indels (<= 5 bp)                          401               397                     352                      340                      573                     514                     3520               410               398                     513                      482                      611                     605                     3560               409               395                     507                      497                      568                     608                     3547             
    # indels (> 5 bp)                           41                43                      41                       41                       41                      36                      36                 41                42                      38                       40                       40                      41                      37                 41                43                      40                       40                       35                      38                      36               
Indels length                                   2460              2469                    2359                     2353                     2641                    2508                    6137               2475              2462                    2509                     2473                     2668                    2672                    6193               2474              2467                    2513                     2530                     2559                    2700                    6170             
