Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# misassemblies	15	15	15	15	15	15	19	15	16	15	15	15	15	18	15	15	15	15	15	15	18
  # contig misassemblies	15	15	15	15	15	15	19	15	16	15	15	15	15	18	15	15	15	15	15	15	18
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	13	13	13	13	13	13	17	13	14	13	13	13	13	16	13	13	13	13	13	13	16
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4758957	4758026	4758581	4758584	4758019	4758050	4755933	4758981	4757842	4758589	4758101	4757934	4757912	4756088	4758992	4758031	4758588	4758092	4757964	4757944	4756065
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	6	4	4	4	4	4	18	6	4	4	4	4	4	14	6	4	4	4	4	4	14
# local misassemblies	8	8	8	8	8	8	28	8	8	8	8	8	8	20	8	8	8	7	8	8	23
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	14	14	14	14	14	14	7	14	14	14	14	14	14	11	14	14	14	14	14	14	9
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	19279	19167	19216	19220	19673	19536	21979	19310	19189	19202	19269	19222	19589	21607	19236	19153	18936	18961	19632	19429	21654
# indels	989	714	539	536	1640	1582	10315	1000	736	540	539	1663	1578	10545	1023	725	532	532	1678	1545	10520
    # indels (<= 5 bp)	894	620	448	445	1549	1491	10145	904	639	450	449	1572	1488	10369	926	630	443	441	1588	1455	10349
    # indels (> 5 bp)	95	94	91	91	91	91	170	96	97	90	90	91	90	176	97	95	89	91	90	90	171
Indels length	5560	5270	5023	5022	6299	6170	18545	5545	5267	4972	4971	6258	6130	19245	5612	5258	4956	5049	6272	6099	19063
