S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102683	ec_ill_ec_contig2	contig_96	99.99		True
local misassembly
310191	312944	102684	105437	ec_ill_ec_contig2	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303780	105527	ec_ill_ec_contig4	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306752	303781	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1	1463	308612	307150	ec_ill_ec_contig65	contig_96	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308979	346275	ec_ill_ec_contig39	contig_96	100.0		True
local misassembly [fragmentation of reference genome]
22	350	346371	346699	ec_ill_ec_contig104	contig_96	91.19		True
indel: indel (> 5bp)
384	502	346700	346818	ec_ill_ec_contig104	contig_96	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346891	392195	ec_ill_ec_contig15	contig_96	99.95		True
local misassembly
45064	105217	392210	452361	ec_ill_ec_contig15	contig_96	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452362	453593	ec_ill_ec_contig79	contig_96	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453594	514003	ec_ill_ec_contig31	contig_96	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514191	857390	ec_ill_ec_contig1	contig_96	99.99		True
local misassembly
343563	393863	857391	907690	ec_ill_ec_contig1	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980648	907691	ec_ill_ec_contig16	contig_96	99.99		True
local misassembly
1	31383	1012030	980649	ec_ill_ec_contig16	contig_96	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015058	1012032	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1	1463	1016924	1015462	ec_ill_ec_contig65	contig_96	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058471	1017195	ec_ill_ec_contig37	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059392	1058472	ec_ill_ec_contig83	contig_96	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059393	1206889	ec_ill_ec_contig7	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206890	1208813	ec_ill_ec_contig73	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209375	1208814	ec_ill_ec_contig91	contig_96	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209376	1210020	ec_ill_ec_contig94	contig_96	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210274	1212003	ec_ill_ec_contig75	contig_96	99.83		True
local misassembly [fragmentation of reference genome]
22	507	1212452	1212937	ec_ill_ec_contig104	contig_96	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220908	1213005	ec_ill_ec_contig60	contig_96	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222030	1220909	ec_ill_ec_contig80	contig_96	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222031	1315428	ec_ill_ec_contig20	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315429	1317352	ec_ill_ec_contig73	contig_96	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317914	1317353	ec_ill_ec_contig91	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317915	1318540	ec_ill_ec_contig94	contig_96	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318541	1390385	ec_ill_ec_contig25	contig_96	99.96		True
local misassembly [fragmentation of reference genome]
1	5324	1395817	1390493	ec_ill_ec_contig64	contig_96	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396100	1412169	ec_ill_ec_contig53	contig_96	100.0		True
translocation
26703	27345	1412170	1412812	ec_ill_ec_contig46	contig_96	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412813	1413265	ec_ill_ec_contig101	contig_96	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415848	1413266	ec_ill_ec_contig70	contig_96	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416131	1418555	ec_ill_ec_contig72	contig_96	100.0		True
translocation
4875	5324	1418556	1419005	ec_ill_ec_contig64	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419718	1419108	ec_ill_ec_contig25	contig_96	97.25		True
translocation
1	22687	1442401	1419719	ec_ill_ec_contig48	contig_96	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442402	1442961	ec_ill_ec_contig92	contig_96	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442962	1444318	ec_ill_ec_contig77	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444832	1444319	ec_ill_ec_contig97	contig_96	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555919	1444833	ec_ill_ec_contig12	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556104	1557567	ec_ill_ec_contig65	contig_96	99.86		True
local misassembly
1876	4847	1557888	1560859	ec_ill_ec_contig65	contig_96	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649323	1560860	ec_ill_ec_contig23	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649727	1651189	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1876	4902	1651602	1654632	ec_ill_ec_contig65	contig_96	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654852	1708538	ec_ill_ec_contig33	contig_96	99.99		True
local misassembly [fragmentation of reference genome]
1	71920	1708539	1780457	ec_ill_ec_contig24	contig_96	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780856	1782319	ec_ill_ec_contig65	contig_96	99.86		True
local misassembly
1876	4902	1782640	1785666	ec_ill_ec_contig65	contig_96	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790153	1785886	ec_ill_ec_contig66	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790154	1791073	ec_ill_ec_contig83	contig_96	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821916	1791074	ec_ill_ec_contig43	contig_96	100.0		True
translocation
56	399	1822258	1821917	ec_ill_ec_contig6	contig_96	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822259	1823721	ec_ill_ec_contig65	contig_96	100.0		True
local misassembly
1876	4902	1824042	1827068	ec_ill_ec_contig65	contig_96	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1827070	1830080	ec_ill_ec_contig8	contig_96	99.95		True
indel: stretch of mismatches
3012	83127	1830081	1910097	ec_ill_ec_contig8	contig_96	99.87		True
local misassembly
82979	138617	1910288	1965924	ec_ill_ec_contig8	contig_96	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966477	1965992	ec_ill_ec_contig104	contig_96	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966573	1996827	ec_ill_ec_contig44	contig_96	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104764	1997019	ec_ill_ec_contig14	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104765	2105875	ec_ill_ec_contig81	contig_96	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105876	2115570	ec_ill_ec_contig59	contig_96	99.99		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2116092	2115643	ec_ill_ec_contig104	contig_96	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2116093	2119636	ec_ill_ec_contig67	contig_96	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
