S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102684	ec_ill_ec_contig2	contig_97	99.99		True
local misassembly
310191	312944	102685	105438	ec_ill_ec_contig2	contig_97	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303779	105528	ec_ill_ec_contig4	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306750	303780	ec_ill_ec_contig65	contig_97	99.9		True
local misassembly
1	1463	308610	307148	ec_ill_ec_contig65	contig_97	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308977	346276	ec_ill_ec_contig39	contig_97	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346372	346700	ec_ill_ec_contig104	contig_97	91.19		True
indel: indel (> 5bp)
384	502	346701	346819	ec_ill_ec_contig104	contig_97	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346892	392197	ec_ill_ec_contig15	contig_97	99.94		True
local misassembly
45064	105217	392212	452365	ec_ill_ec_contig15	contig_97	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452366	453597	ec_ill_ec_contig79	contig_97	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453598	514010	ec_ill_ec_contig31	contig_97	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514198	857409	ec_ill_ec_contig1	contig_97	99.99		True
local misassembly
343563	393863	857410	907709	ec_ill_ec_contig1	contig_97	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980669	907710	ec_ill_ec_contig16	contig_97	99.99		True
local misassembly
1	31383	1012052	980670	ec_ill_ec_contig16	contig_97	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015080	1012054	ec_ill_ec_contig65	contig_97	99.93		True
local misassembly
1	1463	1016947	1015484	ec_ill_ec_contig65	contig_97	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058498	1017218	ec_ill_ec_contig37	contig_97	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059419	1058499	ec_ill_ec_contig83	contig_97	99.9		True
