Assembly	r10_1bin_v2_1_MP	r10_1bin_v2_1_MP_helen	r10_1bin_v2_1_r1_medaka	r10_1bin_v2_1_r2_medaka	r10_1bin_v2_1_racon_r1	r10_1bin_v2_1_racon_r2	r10_1bin_v2_1_raw	r10_1bin_v2_2_MP	r10_1bin_v2_2_MP_helen	r10_1bin_v2_2_r1_medaka	r10_1bin_v2_2_r2_medaka	r10_1bin_v2_2_racon_r1	r10_1bin_v2_2_racon_r2	r10_1bin_v2_2_raw	r10_1bin_v2_3_MP	r10_1bin_v2_3_MP_helen	r10_1bin_v2_3_r1_medaka	r10_1bin_v2_3_r2_medaka	r10_1bin_v2_3_racon_r1	r10_1bin_v2_3_racon_r2	r10_1bin_v2_3_raw
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 5000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 10000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 25000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 50000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792277	6792242	6792250	6792256	6791584	6791674	6787707	6792192	6792152	6792241	6792246	6791553	6791665	6787702	6792242	6792185	6792243	6792245	6791548	6791645	6788581
Total length	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Reference length	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151
GC (%)	49.50	49.51	49.50	49.50	49.49	49.49	49.48	49.50	49.51	49.50	49.50	49.49	49.49	49.48	49.50	49.51	49.50	49.50	49.49	49.49	49.48
Reference GC (%)	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21
N50	4758918	4757927	4758579	4758111	4757861	4757873	4755626	4758939	4757856	4758583	4758093	4757899	4757820	4756102	4758920	4757780	4758582	4758118	4757872	4757851	4755682
NG50	6792277	6792242	6792250	6792256	6791584	6791674	6787707	6792192	6792152	6792241	6792246	6791553	6791665	6787702	6792242	6792185	6792243	6792245	6791548	6791645	6788581
N75	2992095	2992079	2992073	2992075	2991950	2991981	2990263	2992085	2992067	2992071	2992073	2991978	2991952	2990631	2992051	2992049	2992047	2992047	2991957	2991941	2990406
NG75	6792277	6792242	6792250	6792256	6791584	6791674	6787707	6792192	6792152	6792241	6792246	6791553	6791665	6787702	6792242	6792185	6792243	6792245	6791548	6791645	6788581
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	8	6	6	6	6	6	10	8	6	6	6	6	6	9	8	6	6	6	6	6	10
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792277	6792242	6792250	6792256	6791584	6791674	6787707	6792192	6792152	6792241	6792246	6791553	6791665	6787702	6792242	6792185	6792243	6792245	6791548	6791645	6788581
# local misassemblies	11	11	11	11	11	11	28	11	11	11	11	11	11	29	11	11	11	11	11	11	25
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	6	7	7	7	6
