S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_95	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_95	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2996	2513	sa_ill_sa_contig65	contig_95	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226522	2997	sa_ill_sa_contig1	contig_95	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226523	227853	sa_ill_sa_contig48	contig_95	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326511	227854	sa_ill_sa_contig11	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326512	333600	sa_ill_sa_contig36	contig_95	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355397	333601	sa_ill_sa_contig30	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355398	356108	sa_ill_sa_contig55	contig_95	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370323	356109	sa_ill_sa_contig34	contig_95	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370477	403473	sa_ill_sa_contig26	contig_95	99.81		True
local misassembly [fragmentation of reference genome]
2	925	403678	404595	sa_ill_sa_contig51	contig_95	98.06		True
translocation
198	3323	405150	408275	sa_ill_sa_contig41	contig_95	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408697	410302	sa_ill_sa_contig8	contig_95	99.53		True
translocation
1	28120	410303	438428	sa_ill_sa_contig28	contig_95	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438433	478175	sa_ill_sa_contig21	contig_95	99.84		True
local misassembly [fragmentation of reference genome]
98092	98471	478554	478176	sa_ill_sa_contig11	contig_95	97.97		True
translocation
1	62604	478555	541035	sa_ill_sa_contig14	contig_95	99.6		True
local misassembly
62396	62502	541085	541191	sa_ill_sa_contig14	contig_95	98.6		True
translocation
203	3323	541192	544310	sa_ill_sa_contig41	contig_95	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544730	546327	sa_ill_sa_contig8	contig_95	99.3		True
translocation
19	34443	580768	546328	sa_ill_sa_contig24	contig_95	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619568	580769	sa_ill_sa_contig22	contig_95	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619569	620101	sa_ill_sa_contig63	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654496	620102	sa_ill_sa_contig25	contig_95	99.82		True
translocation
203	3323	654661	657786	sa_ill_sa_contig41	contig_95	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	658159	790204	sa_ill_sa_contig8	contig_95	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790546	940084	sa_ill_sa_contig5	contig_95	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	940130	971035	sa_ill_sa_contig27	contig_95	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	971036	971845	sa_ill_sa_contig53	contig_95	99.42		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974887	971964	sa_ill_sa_contig43	contig_95	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988592	974888	sa_ill_sa_contig35	contig_95	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989324	1115104	sa_ill_sa_contig10	contig_95	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1115105	1115769	sa_ill_sa_contig60	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117373	1116889	sa_ill_sa_contig65	contig_95	99.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1138208	1117374	sa_ill_sa_contig32	contig_95	99.86		True
translocation
1	130429	1268626	1138209	sa_ill_sa_contig9	contig_95	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268627	1273208	sa_ill_sa_contig40	contig_95	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1273209	1278535	sa_ill_sa_contig38	contig_95	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1283112	1278536	sa_ill_sa_contig40	contig_95	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1309306	1283113	sa_ill_sa_contig29	contig_95	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309671	1310526	sa_ill_sa_contig54	contig_95	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312729	1311056	sa_ill_sa_contig46	contig_95	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312730	1356272	sa_ill_sa_contig18	contig_95	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356805	1356273	sa_ill_sa_contig63	contig_95	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356806	1499778	sa_ill_sa_contig6	contig_95	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499932	1520979	sa_ill_sa_contig31	contig_95	99.88		True
translocation
98057	98213	1520980	1521136	sa_ill_sa_contig11	contig_95	98.58		True
local misassembly
98340	98561	1521137	1521358	sa_ill_sa_contig11	contig_95	98.02		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1547984	1521359	sa_ill_sa_contig12	contig_95	99.25		True
local misassembly
46	44268	1592219	1547985	sa_ill_sa_contig12	contig_95	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1592220	1642955	sa_ill_sa_contig17	contig_95	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1642956	1647951	sa_ill_sa_contig39	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1647952	1662328	sa_ill_sa_contig33	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1663040	1662329	sa_ill_sa_contig55	contig_95	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669734	1663041	sa_ill_sa_contig37	contig_95	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669759	1672600	sa_ill_sa_contig44	contig_95	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1674178	1672601	sa_ill_sa_contig47	contig_95	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1715296	1674205	sa_ill_sa_contig20	contig_95	99.83		True
translocation
1	1649	1716943	1715297	sa_ill_sa_contig8	contig_95	99.47		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1720454	1717331	sa_ill_sa_contig41	contig_95	99.58		True
translocation
38161	38352	1720737	1720547	sa_ill_sa_contig23	contig_95	95.31		True
local misassembly
38187	38352	1720990	1720825	sa_ill_sa_contig23	contig_95	98.8		True
local misassembly
1	38352	1759469	1721082	sa_ill_sa_contig23	contig_95	99.84		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1759864	1759612	sa_ill_sa_contig51	contig_95	94.07		True
translocation
1	1703	1761583	1759878	sa_ill_sa_contig8	contig_95	99.59		True
