S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_103	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_103	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226283	3000	sa_ill_sa_contig1	contig_103	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226284	227611	sa_ill_sa_contig48	contig_103	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326189	227612	sa_ill_sa_contig11	contig_103	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326190	333270	sa_ill_sa_contig36	contig_103	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355055	333271	sa_ill_sa_contig30	contig_103	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355056	355766	sa_ill_sa_contig55	contig_103	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	369976	355767	sa_ill_sa_contig34	contig_103	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370129	403095	sa_ill_sa_contig26	contig_103	99.97		True
local misassembly [fragmentation of reference genome]
2	925	403300	404213	sa_ill_sa_contig51	contig_103	98.49		True
translocation
198	3323	404766	407890	sa_ill_sa_contig41	contig_103	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408312	409915	sa_ill_sa_contig8	contig_103	99.47		True
translocation
1	28120	409916	438024	sa_ill_sa_contig28	contig_103	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438029	477758	sa_ill_sa_contig21	contig_103	99.97		True
local misassembly [fragmentation of reference genome]
98092	98471	478137	477759	sa_ill_sa_contig11	contig_103	97.97		True
translocation
1	62604	478138	540560	sa_ill_sa_contig14	contig_103	99.7		True
local misassembly
62396	62502	540610	540716	sa_ill_sa_contig14	contig_103	98.6		True
translocation
203	3323	540717	543833	sa_ill_sa_contig41	contig_103	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544252	545849	sa_ill_sa_contig8	contig_103	99.36		True
translocation
19	34443	580272	545850	sa_ill_sa_contig24	contig_103	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619034	580273	sa_ill_sa_contig22	contig_103	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619035	619567	sa_ill_sa_contig63	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
