Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8
# contigs (>= 10000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8
# contigs (>= 25000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8
# contigs (>= 50000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8
Total length (>= 5000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	25287389	24074504	24070562	24072056	24063280	24060309	24055890	28130291	24074399	24070917	24071942	24055585	24060307	24051912	30848199
Total length (>= 10000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	25287389	24074504	24070562	24072056	24063280	24060309	24055890	28130291	24074399	24070917	24071942	24055585	24060307	24051912	30848199
Total length (>= 25000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	25287389	24074504	24070562	24072056	24063280	24060309	24055890	28130291	24074399	24070917	24071942	24055585	24060307	24051912	30848199
Total length (>= 50000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	25287389	24074504	24070562	24072056	24063280	24060309	24055890	28130291	24074399	24070917	24071942	24055585	24060307	24051912	30848199
# contigs	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8
Largest contig	4765357	4765332	4765357	4765355	4764584	4764687	6788581	4765355	4765369	4765398	4765353	4764761	4764686	6787718	4765363	4765342	4765361	4765354	4764595	4764670	6787718
Total length	24074317	24069448	24072005	24061370	24059821	24053939	25287389	24074504	24070562	24072056	24063280	24060309	24055890	28130291	24074399	24070917	24071942	24055585	24060307	24051912	30848199
Reference length	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357	4738357
GC (%)	44.80	44.80	44.80	44.79	44.79	44.79	52.62	44.80	44.80	44.80	44.80	44.79	44.79	51.10	44.80	44.80	44.80	44.80	44.79	44.78	49.48
Reference GC (%)	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15	52.15
N50	4045600	4045625	4045591	4045593	4045204	4045287	4756051	4045597	4045613	4045604	4045605	4045243	4045295	4756088	4045597	4045617	4045586	4045593	4045248	4045340	4756101
NG50	4765357	4765332	4765357	4765355	4764584	4764687	6788581	4765355	4765369	4765398	4765353	4764761	4764686	6787718	4765363	4765342	4765361	4765354	4764595	4764670	6787718
N75	2845424	2845372	2845429	2845427	2845272	2845846	4043049	2845424	2845368	2845428	2845430	2845282	2845321	2990633	2845424	2845363	2845431	2845427	2845312	2845321	2990633
NG75	4765357	4765332	4765357	4765355	4764584	4764687	6788581	4765355	4765369	4765398	4765353	4764761	4764686	6787718	4765363	4765342	4765361	4765354	4764595	4764670	6787718
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	15	16	15	15	15	15	18	15	16	15	15	15	15	19	15	16	15	15	15	15	18
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4758939	4757800	4758594	4758071	4757983	4757672	4756051	4758953	4757846	4758592	4758065	4757922	4757649	4756088	4758954	4757856	4758593	4758140	4757950	4757852	4756101
# local misassemblies	8	8	8	7	8	8	22	8	8	8	7	8	8	20	8	8	8	8	8	8	20
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 6 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part
Unaligned length	19036983	19032555	19034974	19024809	19023463	19016971	20332702	19037921	19033870	19036923	19028665	19023234	19016296	23176600	19037001	19033930	19034839	19019162	19023279	19013309	25891215
Genome fraction (%)	98.918	98.919	98.920	98.920	98.920	98.920	98.896	98.918	98.919	98.920	98.920	98.920	98.920	98.894	98.918	98.918	98.920	98.920	98.920	98.920	98.896
Duplication ratio	1.075	1.075	1.075	1.075	1.075	1.075	1.058	1.075	1.075	1.075	1.074	1.075	1.075	1.057	1.075	1.075	1.075	1.075	1.075	1.075	1.058
# N's per 100 kbp	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	413.09	410.25	409.77	409.71	413.25	415.88	463.38	412.26	411.68	406.02	405.97	416.35	421.70	461.22	412.90	410.51	409.77	409.47	415.34	419.40	463.94
# indels per 100 kbp	21.38	16.37	11.48	11.37	36.17	34.29	224.74	21.04	15.94	11.18	11.10	35.81	34.70	225.39	21.02	16.01	11.50	11.31	36.94	34.81	226.81
Largest alignment	1342500	1342442	1342476	1342473	1342297	1342296	1341434	1342500	1342446	1342474	1342473	1342276	1342300	958285	1342500	1342443	1342475	1342474	1342281	1342299	1341458
Total aligned length	5034992	5034596	5034688	5034218	5034014	5034705	4952509	5034241	5034405	5032791	5032273	5034731	5037249	4951565	5035056	5034700	5034760	5034080	5034689	5036341	4954856
NGA50	745398	745356	745370	745370	745283	745276	744979	745397	745357	745369	745368	745271	745277	744987	745399	745354	745372	745370	745261	745268	744998
NGA75	611503	611468	611516	611516	611440	611432	433863	611517	611512	611516	611515	611434	611426	383172	611517	611510	611515	611515	611422	611447	433871
LGA50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LGA75	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5
