Assembly	r10_2bins_1_MP	r10_2bins_1_MP_helen	r10_2bins_1_r1_medaka	r10_2bins_1_r2_medaka	r10_2bins_1_racon_r1	r10_2bins_1_racon_r2	r10_2bins_1_raw	r10_2bins_2_MP	r10_2bins_2_MP_helen	r10_2bins_2_r1_medaka	r10_2bins_2_r2_medaka	r10_2bins_2_racon_r1	r10_2bins_2_racon_r2	r10_2bins_2_raw	r10_2bins_3_MP	r10_2bins_3_MP_helen	r10_2bins_3_r1_medaka	r10_2bins_3_r2_medaka	r10_2bins_3_racon_r1	r10_2bins_3_racon_r2	r10_2bins_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 10000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 25000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 50000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Total length (>= 5000 bp)	24075406	24070890	24072753	24062203	24060263	24054195	28130867	24074923	24071344	24072870	24062184	24061558	24055354	28131695	24074822	24070715	24072827	24063225	24060618	24054198	28131333
Total length (>= 10000 bp)	24075406	24070890	24072753	24062203	24060263	24054195	28130867	24074923	24071344	24072870	24062184	24061558	24055354	28131695	24074822	24070715	24072827	24063225	24060618	24054198	28131333
Total length (>= 25000 bp)	24075406	24070890	24072753	24062203	24060263	24054195	28130867	24074923	24071344	24072870	24062184	24061558	24055354	28131695	24074822	24070715	24072827	24063225	24060618	24054198	28131333
Total length (>= 50000 bp)	24075406	24070890	24072753	24062203	24060263	24054195	28130867	24074923	24071344	24072870	24062184	24061558	24055354	28131695	24074822	24070715	24072827	24063225	24060618	24054198	28131333
# contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Largest contig	4766016	4765867	4765431	4765364	4764829	4764690	6787718	4765469	4765339	4765413	4765389	4765359	4764750	6788581	4765404	4765326	4765369	4765362	4764572	4764639	6788581
Total length	24075406	24070890	24072753	24062203	24060263	24054195	28130867	24074923	24071344	24072870	24062184	24061558	24055354	28131695	24074822	24070715	24072827	24063225	24060618	24054198	28131333
Reference length	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036
GC (%)	44.80	44.80	44.80	44.80	44.79	44.78	51.10	44.80	44.80	44.80	44.80	44.79	44.79	51.10	44.80	44.80	44.80	44.80	44.79	44.78	51.10
Reference GC (%)	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45
N50	4045595	4045617	4045595	4045588	4045225	4045305	4756113	4045604	4045620	4045593	4045591	4045221	4045309	4756067	4045604	4045624	4045591	4045594	4045221	4045286	4756051
NG50	4766016	4765867	4765431	4765364	4764829	4764690	6787718	4765469	4765339	4765413	4765389	4765359	4764750	6788581	4765404	4765326	4765369	4765362	4764572	4764639	6788581
N75	2845426	2845369	2845429	2845431	2845288	2845343	2990676	2845426	2845369	2845430	2845431	2845286	2845339	2990627	2845426	2845369	2845430	2845431	2845286	2845339	2990627
NG75	4766016	4765867	4765431	4765364	4764829	4764690	6787718	4765469	4765339	4765413	4765389	4765359	4764750	6788581	4765404	4765326	4765369	4765362	4764572	4764639	6788581
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	21	21	21	21	21	21	20	21	21	21	21	21	21	21	21	21	21	21	21	21	19
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4766016	4765867	4765431	4765364	4764829	4764690	4764018	4765469	4765339	4765413	4765389	4765359	4764750	4763884	4765404	4765326	4765369	4765362	4764572	4764639	4763513
# local misassemblies	37	38	37	36	37	37	47	36	37	36	37	39	37	57	36	37	37	37	36	36	61
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
