Assembly	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
# contigs (>= 5000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8
# contigs (>= 10000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8
# contigs (>= 25000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8
# contigs (>= 50000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8
Total length (>= 5000 bp)	24069494	24072731	24070272	24075146	24075931	24075224	24072592	24074864	24072788	24064948	24068153	24065807	24059729	24064644	24059333	24055079	24060632	24052503	28129504	30850309	30849039
Total length (>= 10000 bp)	24069494	24072731	24070272	24075146	24075931	24075224	24072592	24074864	24072788	24064948	24068153	24065807	24059729	24064644	24059333	24055079	24060632	24052503	28129504	30850309	30849039
Total length (>= 25000 bp)	24069494	24072731	24070272	24075146	24075931	24075224	24072592	24074864	24072788	24064948	24068153	24065807	24059729	24064644	24059333	24055079	24060632	24052503	28129504	30850309	30849039
Total length (>= 50000 bp)	24069494	24072731	24070272	24075146	24075931	24075224	24072592	24074864	24072788	24064948	24068153	24065807	24059729	24064644	24059333	24055079	24060632	24052503	28129504	30850309	30849039
# contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8
Largest contig	4765299	4765370	4765301	4765922	4765391	4765920	4765362	4765395	4765360	4765364	4765350	4765359	4764643	4764770	4764652	4764716	4764723	4764656	6787702	6787718	6788614
Total length	24069494	24072731	24070272	24075146	24075931	24075224	24072592	24074864	24072788	24064948	24068153	24065807	24059729	24064644	24059333	24055079	24060632	24052503	28129504	30850309	30849039
Reference length	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036	4787036
GC (%)	44.80	44.81	44.80	44.80	44.80	44.80	44.80	44.80	44.80	44.80	44.80	44.80	44.79	44.79	44.79	44.79	44.79	44.79	51.10	49.48	49.48
Reference GC (%)	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45	50.45
N50	4045615	4045634	4045636	4045594	4045608	4045601	4045589	4045607	4045601	4045589	4045605	4045604	4045233	4045287	4045256	4045364	4045333	4045318	4755983	4756088	4755683
NG50	4765299	4765370	4765301	4765922	4765391	4765920	4765362	4765395	4765360	4765364	4765350	4765359	4764643	4764770	4764652	4764716	4764723	4764656	6787702	6787718	6788614
N75	2845363	2845435	2845364	2845421	2845426	2845426	2845430	2845432	2845434	2845429	2845433	2845432	2845290	2845293	2845290	2845315	2845310	2845306	2990633	2990279	2990261
NG75	4765299	4765370	4765301	4765922	4765391	4765920	4765362	4765395	4765360	4765364	4765350	4765359	4764643	4764770	4764652	4764716	4764723	4764656	6787702	6787718	6788614
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	19	19	19
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4765299	4765370	4765301	4765922	4765391	4765920	4765362	4765395	4765360	4765364	4765350	4765359	4764643	4764770	4764652	4764716	4764723	4764656	4763471	4763493	4763422
# local misassemblies	36	36	37	37	36	37	36	36	37	37	36	37	36	37	36	36	36	36	57	61	57
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 8 part
Unaligned length	19035147	19038239	19035171	19041094	19042017	19041458	19036067	19039229	19037979	19028842	19032998	19029873	19028242	19030315	19027069	19019024	19024888	19014987	23170363	25902936	25888111
Genome fraction (%)	97.703	97.703	97.701	97.703	97.703	97.703	97.703	97.703	97.701	97.701	97.703	97.701	97.703	97.703	97.703	97.703	97.703	97.703	97.663	97.663	97.663
Duplication ratio	1.077	1.077	1.077	1.076	1.076	1.076	1.077	1.077	1.077	1.077	1.077	1.077	1.076	1.077	1.076	1.077	1.077	1.077	1.061	1.058	1.061
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	437.50	437.93	438.94	439.81	439.75	439.06	443.10	441.67	439.03	442.13	440.54	441.89	437.52	443.42	438.81	447.96	447.94	451.08	496.75	484.81	502.65
# indels per 100 kbp	18.28	16.85	18.18	20.98	20.53	20.85	15.18	15.50	15.01	15.05	15.33	15.01	36.57	37.25	36.44	33.38	33.49	33.19	234.05	236.81	236.96
Largest alignment	1408815	1414821	1408815	1408881	1414836	1408879	1408887	1414865	1408885	1408888	1414829	1408888	1408725	1414845	1408707	1408742	1414646	1408719	1104870	1102178	1104889
Total aligned length	5029020	5028083	5032135	5028658	5027493	5028372	5031176	5029225	5031874	5033142	5028745	5033011	5026217	5027996	5026999	5030772	5029347	5032233	4956820	4942049	4958628
NGA50	1103277	1102966	1105648	1103292	1102968	1103290	1103279	1102956	1105652	1105649	1102958	1105647	1103090	1102776	1103121	1103131	1102818	1103095	586344	586489	586344
NGA75	393565	394041	393564	393569	394054	393569	393562	394045	393560	393562	394045	393561	393561	393984	393544	393552	394006	393547	376841	369917	376856
LGA50	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3
LGA75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6
