Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 10000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 25000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 50000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Total length (>= 5000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	30850202	24074631	24069339	24071923	24062244	24061038	24054829	30849057	24074724	24069480	24072032	24064645	24060108	24055808	30849244
Total length (>= 10000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	30850202	24074631	24069339	24071923	24062244	24061038	24054829	30849057	24074724	24069480	24072032	24064645	24060108	24055808	30849244
Total length (>= 25000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	30850202	24074631	24069339	24071923	24062244	24061038	24054829	30849057	24074724	24069480	24072032	24064645	24060108	24055808	30849244
Total length (>= 50000 bp)	24074745	24070729	24072155	24064354	24061185	24054036	30850202	24074631	24069339	24071923	24062244	24061038	24054829	30849057	24074724	24069480	24072032	24064645	24060108	24055808	30849244
# contigs	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Largest contig	4765396	4765339	4765361	4765365	4764689	4764726	6788614	4765403	4765334	4765359	4765364	4764683	4764682	6788581	4765471	4765411	4765372	4765365	4764770	4764744	6788292
