All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# misassemblies                                 2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
  # contig misassemblies                        2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
    # c. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # c. translocations                         2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     2992084         2992068               2992075                2992072                2991900               2991958               2990676          2992084         2992066               2992074                2992072                2991919               2991966               2990627          2992084         2992066               2992074                2992073                2991919               2991966               2990627        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     2                1               1                     1                      1                      1                     1                     2                1               1                     1                      1                      1                     1                     2              
    # possible misassemblies                    8               8                     8                      8                      8                     8                     9                8               8                     8                      8                      8                     8                     9                8               8                     8                      8                      8                     8                     9              
# local misassemblies                           7               7                     7                      7                      7                     7                     12               7               7                     7                      7                      7                     7                     14               7               7                     7                      7                      7                     7                     14             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  16              16                    16                     16                     16                    16                    11               16              16                    16                     16                     16                    16                    10               16              16                    16                     16                     16                    16                    10             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     7                6               6                     6                      6                      6                     6                     7              
# mismatches                                    6822            7005                  6750                   6773                   6682                  6816                  4254             6765            6945                  6837                   6838                   6711                  6924                  4251             6768            6962                  6834                   6865                   6680                  6913                  4265           
# indels                                        650             663                   654                    641                    917                   878                   3437             630             642                   656                    641                    908                   850                   3454             630             642                   655                    639                    909                   841                   3454           
    # indels (<= 5 bp)                          626             638                   629                    617                    892                   853                   3408             607             618                   631                    617                    882                   826                   3426             607             618                   630                    615                    883                   817                   3426           
    # indels (> 5 bp)                           24              25                    25                     24                     25                    25                    29               23              24                    25                     24                     26                    24                    28               23              24                    25                     24                     26                    24                    28             
Indels length                                   1956            1973                  1969                   1932                   2317                  2263                  5340             1917            1935                  1971                   1932                   2313                  2199                  5305             1917            1935                  1970                   1931                   2316                  2199                  5305           
