Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 10000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 25000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 50000 bp)	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Total length (>= 5000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	19305046	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Total length (>= 10000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	19305046	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Total length (>= 25000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	19305046	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Total length (>= 50000 bp)	24074317	24069448	24072005	24061370	24059821	24053939	19305046	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
# contigs	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Largest contig	4765357	4765332	4765357	4765355	4764584	4764687	4763514	4765355	4765369	4765398	4765353	4764761	4764686	4763493	4765363	4765342	4765361	4765354	4764595	4764670	4763481
Total length	24074317	24069448	24072005	24061370	24059821	24053939	19305046	24074504	24070562	24072056	24063280	24060309	24055890	24061440	24074399	24070917	24071942	24055585	24060307	24051912	24060481
Reference length	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829	3985829
