All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# contigs (>= 5000 bp)       8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 10000 bp)      8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 25000 bp)      8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 50000 bp)      8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
Total length (>= 5000 bp)    30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 10000 bp)   30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 25000 bp)   30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 50000 bp)   30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
# contigs                    8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
Largest contig               6792253         6792196               6792240                6792242                6791560               6791674               6787718          6792241         6792182               6792245                6792248                6791611               6791688               6788581          6792241         6792182               6792244                6792249                6791613               6791620               6788581        
Total length                 30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Reference length             6728151         6728151               6728151                6728151                6728151               6728151               6728151          6728151         6728151               6728151                6728151                6728151               6728151               6728151          6728151         6728151               6728151                6728151                6728151               6728151               6728151        
GC (%)                       49.50           49.51                 49.50                  49.50                  49.49                 49.49                 49.48            49.50           49.51                 49.50                  49.50                  49.49                 49.49                 49.48            49.50           49.51                 49.50                  49.50                  49.49                 49.49                 49.48          
Reference GC (%)             66.21           66.21                 66.21                  66.21                  66.21                 66.21                 66.21            66.21           66.21                 66.21                  66.21                  66.21                 66.21                 66.21            66.21           66.21                 66.21                  66.21                  66.21                 66.21                 66.21          
N50                          4758965         4757933               4758577                4758103                4757936               4757875               4756113          4758986         4758029               4758599                4758140                4757918               4757909               4756067          4758962         4757806               4758586                4758100                4757923               4757852               4756051        
NG50                         6792253         6792196               6792240                6792242                6791560               6791674               6787718          6792241         6792182               6792245                6792248                6791611               6791688               6788581          6792241         6792182               6792244                6792249                6791613               6791620               6788581        
N75                          2992084         2992068               2992075                2992072                2991900               2991958               2990676          2992084         2992066               2992074                2992072                2991919               2991966               2990627          2992084         2992066               2992074                2992073                2991919               2991966               2990627        
NG75                         6792253         6792196               6792240                6792242                6791560               6791674               6787718          6792241         6792182               6792245                6792248                6791611               6791688               6788581          6792241         6792182               6792244                6792249                6791613               6791620               6788581        
L50                          3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3              
LG50                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
L75                          5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5              
LG75                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
# misassemblies              6               6                     6                      6                      6                     6                     10               8               6                     6                      6                      6                     6                     10               8               6                     6                      6                      6                     6                     10             
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  6792253         6792196               6792240                6792242                6791560               6791674               6787718          6792241         6792182               6792245                6792248                6791611               6791688               6788581          6792241         6792182               6792244                6792249                6791613               6791620               6788581        
# local misassemblies        11              11                    11                     11                     11                    11                    29               11              11                    11                     11                     11                    11                    25               11              11                    11                     11                     11                    11                    25             
