Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	    # c. interspecies translocations	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	    # s. interspecies translocations	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_v4_1_MP	170	170	5	163	2	0	0	0	0	0	0	8	30866444	7	98	116	0	0	252	0	52981	11575	10910	665	45983
r10_1bin_v4_1_MP_helen	169	169	4	163	2	0	0	0	0	0	0	8	30863055	7	98	117	0	1	253	0	50732	6880	6213	667	41146
r10_1bin_v4_1_r1_medaka	171	171	5	164	2	0	0	0	0	0	0	8	30868172	7	94	132	0	0	251	0	54333	12949	12355	594	46178
r10_1bin_v4_1_r2_medaka	177	177	10	165	2	0	0	0	0	0	0	8	30857647	7	94	131	0	0	251	0	54011	13084	12489	595	46756
r10_1bin_v4_1_racon_r1	170	170	5	163	2	0	0	0	0	0	0	8	30851994	7	94	149	0	0	251	0	52838	19986	19336	650	57764
r10_1bin_v4_1_racon_r2	180	180	10	168	2	0	0	0	0	0	0	8	30845980	7	90	140	0	0	250	0	54606	18887	18234	653	55609
r10_1bin_v4_1_raw	173	173	5	164	2	2	0	0	0	0	0	8	30850127	8	168	204	0	0	171	0	82816	94025	92781	1244	159006
r10_1bin_v4_2_MP	171	171	6	163	2	0	0	0	0	0	0	8	30867072	7	98	116	0	0	252	0	52942	11461	10814	647	45780
r10_1bin_v4_2_MP_helen	168	168	4	162	2	0	0	0	0	0	0	8	30862764	7	98	118	0	0	253	0	50942	6939	6265	674	41215
r10_1bin_v4_2_r1_medaka	169	169	4	163	2	0	0	0	0	0	0	8	30868268	7	96	132	0	0	252	0	54256	12995	12400	595	46338
r10_1bin_v4_2_r2_medaka	175	175	9	164	2	0	0	0	0	0	0	8	30857590	7	94	134	0	0	252	0	53983	12936	12331	605	46955
r10_1bin_v4_2_racon_r1	168	168	4	162	2	0	0	0	0	0	0	8	30852101	7	98	149	0	0	251	0	52869	20045	19376	669	58486
r10_1bin_v4_2_racon_r2	177	177	9	166	2	0	0	0	0	0	0	8	30844741	7	90	142	0	0	250	0	54475	19072	18426	646	56452
r10_1bin_v4_2_raw	173	173	5	164	2	2	0	0	0	0	0	8	30850012	8	174	211	0	0	172	0	81825	92404	91173	1231	156361
r10_1bin_v4_3_MP	170	170	6	162	2	0	0	0	0	0	0	8	30866614	7	98	116	0	0	252	0	53504	11563	10902	661	45840
r10_1bin_v4_3_MP_helen	168	168	4	162	2	0	0	0	0	0	0	8	30862713	7	98	117	0	0	253	0	51093	7224	6554	670	41480
r10_1bin_v4_3_r1_medaka	168	168	4	162	2	0	0	0	0	0	0	8	30867461	7	96	132	0	0	251	0	54754	13156	12560	596	46720
r10_1bin_v4_3_r2_medaka	171	171	8	161	2	0	0	0	0	0	0	8	30855149	7	98	133	0	0	253	0	53661	13079	12475	604	46677
r10_1bin_v4_3_racon_r1	168	168	4	162	2	0	0	0	0	0	0	8	30852655	7	98	148	0	0	251	0	54351	20178	19534	644	58128
r10_1bin_v4_3_racon_r2	174	174	8	164	2	0	0	0	0	0	0	8	30845216	7	92	139	0	0	250	0	53955	19140	18494	646	55982
r10_1bin_v4_3_raw	174	174	5	165	2	2	0	0	0	0	0	8	30849517	8	164	208	0	0	177	0	82878	93179	91948	1231	157439
