S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
2904	3183	1	280	pa_ill_pa_contig50	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	799	281	1079	pa_ill_pa_contig75	contig_169	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	7914	1769	pa_ill_pa_contig43	contig_169	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	7915	8658	pa_ill_pa_contig75	contig_169	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	9348	77666	pa_ill_pa_contig28	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	77667	78541	pa_ill_pa_contig69	contig_169	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	109306	78542	pa_ill_pa_contig38	contig_169	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	111739	109307	pa_ill_pa_contig48	contig_169	99.4		True
local misassembly
56	1079	112918	111895	pa_ill_pa_contig48	contig_169	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	112919	119502	pa_ill_pa_contig42	contig_169	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	122455	119503	pa_ill_pa_contig51	contig_169	99.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	122456	149247	pa_ill_pa_contig39	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	149740	149248	pa_ill_pa_contig79	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	408296	149741	pa_ill_pa_contig8	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	408297	409129	pa_ill_pa_contig71	contig_169	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	409130	410366	pa_ill_pa_contig65	contig_169	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	410858	410367	pa_ill_pa_contig80	contig_169	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	410859	602175	pa_ill_pa_contig13	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	603301	602176	pa_ill_pa_contig67	contig_169	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	603302	689689	pa_ill_pa_contig25	contig_169	99.98		True
translocation
161	249467	689690	938974	pa_ill_pa_contig9	contig_169	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	941869	939339	pa_ill_pa_contig53	contig_169	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	942923	941997	pa_ill_pa_contig72	contig_169	99.14		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	943436	942924	pa_ill_pa_contig78	contig_169	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	943437	947216	pa_ill_pa_contig47	contig_169	90.1		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	947645	947217	pa_ill_pa_contig84	contig_169	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	1068706	947646	pa_ill_pa_contig17	contig_169	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	1068968	1124966	pa_ill_pa_contig32	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	1126114	1124967	pa_ill_pa_contig64	contig_169	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	1421250	1126115	pa_ill_pa_contig2	contig_169	99.98		True
local misassembly
1	247083	1668306	1421251	pa_ill_pa_contig2	contig_169	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	1668307	1668737	pa_ill_pa_contig84	contig_169	98.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	1672511	1668738	pa_ill_pa_contig47	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	1672512	1673024	pa_ill_pa_contig78	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	1673025	1673951	pa_ill_pa_contig72	contig_169	98.06		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	1674079	1676626	pa_ill_pa_contig52	contig_169	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	2081253	1676985	pa_ill_pa_contig4	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	2081254	2082611	pa_ill_pa_contig62	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	2082612	2205069	pa_ill_pa_contig16	contig_169	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	2258755	2205484	pa_ill_pa_contig33	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	2259248	2258756	pa_ill_pa_contig79	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	2294419	2259249	pa_ill_pa_contig26	contig_169	99.98		True
local misassembly
1	41228	2335646	2294420	pa_ill_pa_contig26	contig_169	99.96		True
translocation
56	770	2336355	2335647	pa_ill_pa_contig20	contig_169	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	2341809	2336356	pa_ill_pa_contig45	contig_169	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	2341810	2410215	pa_ill_pa_contig27	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	2415818	2410216	pa_ill_pa_contig44	contig_169	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	2503798	2415819	pa_ill_pa_contig24	contig_169	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	2503799	2504885	pa_ill_pa_contig67	contig_169	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	2504886	2799443	pa_ill_pa_contig5	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	2799444	2800260	pa_ill_pa_contig73	contig_169	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	2800261	2836036	pa_ill_pa_contig37	contig_169	99.99		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	2839056	2836906	pa_ill_pa_contig55	contig_169	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	2839057	3071607	pa_ill_pa_contig10	contig_169	99.97		True
translocation
129	1718	3071608	3073197	pa_ill_pa_contig57	contig_169	100.0		True
translocation
232388	237415	3073198	3078228	pa_ill_pa_contig10	contig_169	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	3080661	3078229	pa_ill_pa_contig48	contig_169	99.56		True
local misassembly
