All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
# misassemblies                                 8                 6                       6                        6                        6                       6                       10                 8                 6                       6                        6                        6                       6                       9                  8                 6                       6                        6                        6                       6                       10               
  # contig misassemblies                        8                 6                       6                        6                        6                       6                       10                 8                 6                       6                        6                        6                       6                       9                  8                 6                       6                        6                        6                       6                       10               
    # c. relocations                            1                 0                       0                        0                        0                       0                       0                  1                 0                       0                        0                        0                       0                       0                  1                 0                       0                        0                        0                       0                       0                
    # c. translocations                         7                 6                       6                        6                        6                       6                       10                 7                 6                       6                        6                        6                       6                       9                  7                 6                       6                        6                        6                       6                       10               
    # c. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     6792277           6792242                 6792250                  6792256                  6791584                 6791674                 6787707            6792192           6792152                 6792241                  6792246                  6791553                 6791665                 6787702            6792242           6792185                 6792243                  6792245                  6791548                 6791645                 6788581          
# possibly misassembled contigs                 1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # possible misassemblies                    16                18                      18                       18                       18                      18                      34                 16                18                      18                       18                       18                      18                      33                 16                18                      18                       18                       18                      18                      34               
# local misassemblies                           11                11                      11                       11                       11                      11                      28                 11                11                      11                       11                       11                      11                      29                 11                11                      11                       11                       11                      11                      25               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  20                21                      21                       21                       21                      21                      16                 20                21                      21                       21                       21                      21                      16                 20                21                      21                       21                       21                      21                      16               
# unaligned mis. contigs                        7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       6                       7                  7                 7                       6                        7                        7                       7                       6                
# mismatches                                    3953              3756                    3801                     3771                     3932                    3898                    4366               3906              3727                    3745                     3733                     3931                    3859                    4367               3901              3692                    3718                     3746                     3933                    3872                    4351             
# indels                                        384               230                     244                      242                      1009                    978                     6533               394               366                     242                      245                      1071                    991                     6511               363               340                     244                      242                      1057                    980                     6532             
    # indels (<= 5 bp)                          288               135                     150                      148                      915                     884                     6409               297               265                     149                      152                      977                     897                     6390               268               243                     150                      148                      963                     886                     6409             
    # indels (> 5 bp)                           96                95                      94                       94                       94                      94                      124                97                101                     93                       93                       94                      94                      121                95                97                      94                       94                       94                      94                      123              
Indels length                                   5432              5263                    5257                     5255                     6144                    6111                    12991              5474              5442                    5204                     5207                     6168                    6058                    12818              5393              5401                    5260                     5258                     6177                    6078                    12927            
