Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# misassemblies	170	168	170	170	171	170	168	171	168	168	177	169	168	171	168	171	178	173	172	173	174
  # contig misassemblies	170	168	170	170	171	170	168	171	168	168	177	169	168	171	168	171	178	173	172	173	174
    # c. relocations	5	4	5	6	6	6	5	4	5	5	10	5	5	4	5	5	7	5	6	5	6
    # c. translocations	163	162	163	162	163	162	161	165	161	161	165	162	161	165	161	164	169	166	162	164	164
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
    # c. interspecies translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. interspecies translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
# possibly misassembled contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8
    # possible misassemblies	98	98	96	96	98	96	96	94	96	96	98	100	98	96	98	94	90	92	166	160	166
# local misassemblies	114	121	117	115	116	117	126	134	122	130	130	128	149	148	145	139	144	139	206	196	209
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	252	253	252	252	252	252	253	251	253	253	252	253	250	249	250	249	249	250	178	183	179
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# mismatches	50687	51047	50884	53243	53613	53504	53916	53326	53952	53113	53061	53545	54244	53901	53999	54764	54132	54367	83001	83514	82951
# indels	7035	7147	7177	11674	11689	11718	8237	8135	8112	8009	7934	7958	18909	18712	18822	17598	17489	17611	93904	94345	93211
    # indels (<= 5 bp)	6379	6505	6525	11026	11037	11077	7638	7537	7511	7411	7336	7364	18255	18047	18163	16965	16849	16959	92688	93126	92000
    # indels (> 5 bp)	656	642	652	648	652	641	599	598	601	598	598	594	654	665	659	633	640	652	1216	1219	1211
Indels length	41151	40882	41156	45874	45977	45700	41219	41050	40941	40950	40759	40685	57370	56924	57003	54371	54254	55312	158337	159179	156651
