Assembly	r10_1bin_v3_1_MP	r10_1bin_v3_1_MP_helen	r10_1bin_v3_1_r1_medaka	r10_1bin_v3_1_r2_medaka	r10_1bin_v3_1_racon_r1	r10_1bin_v3_1_racon_r2	r10_1bin_v3_1_raw	r10_1bin_v3_2_MP	r10_1bin_v3_2_MP_helen	r10_1bin_v3_2_r1_medaka	r10_1bin_v3_2_r2_medaka	r10_1bin_v3_2_racon_r1	r10_1bin_v3_2_racon_r2	r10_1bin_v3_2_raw	r10_1bin_v3_3_MP	r10_1bin_v3_3_MP_helen	r10_1bin_v3_3_r1_medaka	r10_1bin_v3_3_r2_medaka	r10_1bin_v3_3_racon_r1	r10_1bin_v3_3_racon_r2	r10_1bin_v3_3_raw
# misassemblies	21	21	21	21	21	21	19	21	21	21	21	21	21	19	21	21	21	21	21	21	19
  # contig misassemblies	21	21	21	21	21	21	19	21	21	21	21	21	21	19	21	21	21	21	21	21	19
    # c. relocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. translocations	20	20	20	20	20	20	18	20	20	20	20	20	20	18	20	20	20	20	20	20	18
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4765884	4765881	4765833	4765837	4765031	4765076	4763514	4765366	4765332	4765684	4765663	4764521	4764646	4763440	4765358	4765330	4765688	4765655	4764491	4764636	4763330
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	12	12	12	12	12	12	33	12	12	12	12	12	12	34	12	12	12	12	12	12	34
# local misassemblies	36	36	36	36	36	36	58	36	36	37	37	36	36	60	36	36	37	37	36	36	62
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	42	42	42	42	42	42	36	42	42	42	42	42	42	35	42	42	42	42	42	42	35
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	20646	20453	20604	20575	20905	21114	22779	20737	20562	20899	20693	20528	21045	22644	20687	20495	20745	20691	20792	21389	22660
# indels	961	787	738	712	1885	1724	11172	965	860	998	977	1841	1714	11063	953	841	1015	979	1863	1698	11070
    # indels (<= 5 bp)	858	687	640	614	1788	1626	10964	866	759	902	881	1744	1616	10860	854	741	919	883	1764	1601	10866
    # indels (> 5 bp)	103	100	98	98	97	98	208	99	101	96	96	97	98	203	99	100	96	96	99	97	204
Indels length	6264	6067	5970	5943	7308	7092	20575	6247	6186	6152	6122	7224	7087	20443	6217	6140	6173	6125	7255	7052	20402
