S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102675	ec_ill_ec_contig2	contig_95	99.97		True
local misassembly
310191	312944	102676	105429	ec_ill_ec_contig2	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303762	105519	ec_ill_ec_contig4	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306734	303763	ec_ill_ec_contig65	contig_95	99.93		True
local misassembly
1	1463	308594	307132	ec_ill_ec_contig65	contig_95	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308961	346253	ec_ill_ec_contig39	contig_95	99.97		True
local misassembly [fragmentation of reference genome]
22	350	346349	346677	ec_ill_ec_contig104	contig_95	91.19		True
indel: indel (> 5bp)
384	502	346678	346796	ec_ill_ec_contig104	contig_95	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346869	392170	ec_ill_ec_contig15	contig_95	99.91		True
local misassembly
45064	105217	392185	452328	ec_ill_ec_contig15	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452329	453559	ec_ill_ec_contig79	contig_95	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453560	513971	ec_ill_ec_contig31	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514159	857334	ec_ill_ec_contig1	contig_95	99.96		True
local misassembly
343563	393863	857335	907627	ec_ill_ec_contig1	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980574	907628	ec_ill_ec_contig16	contig_95	99.96		True
local misassembly
1	31383	1011954	980575	ec_ill_ec_contig16	contig_95	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1014982	1011956	ec_ill_ec_contig65	contig_95	99.93		True
local misassembly
1	1463	1016848	1015386	ec_ill_ec_contig65	contig_95	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058389	1017119	ec_ill_ec_contig37	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059307	1058390	ec_ill_ec_contig83	contig_95	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059308	1206775	ec_ill_ec_contig7	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206776	1208699	ec_ill_ec_contig73	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209261	1208700	ec_ill_ec_contig91	contig_95	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209262	1209906	ec_ill_ec_contig94	contig_95	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210160	1211888	ec_ill_ec_contig75	contig_95	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212337	1212822	ec_ill_ec_contig104	contig_95	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220790	1212890	ec_ill_ec_contig60	contig_95	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1221912	1220791	ec_ill_ec_contig80	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1221913	1315302	ec_ill_ec_contig20	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315303	1317226	ec_ill_ec_contig73	contig_95	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317788	1317227	ec_ill_ec_contig91	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317789	1318413	ec_ill_ec_contig94	contig_95	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318414	1390243	ec_ill_ec_contig25	contig_95	99.91		True
local misassembly [fragmentation of reference genome]
1	5324	1395675	1390351	ec_ill_ec_contig64	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1395958	1412027	ec_ill_ec_contig53	contig_95	99.93		True
translocation
26703	27345	1412028	1412669	ec_ill_ec_contig46	contig_95	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412670	1413124	ec_ill_ec_contig101	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415704	1413125	ec_ill_ec_contig70	contig_95	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1415987	1418411	ec_ill_ec_contig72	contig_95	100.0		True
translocation
4875	5324	1418412	1418861	ec_ill_ec_contig64	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419574	1418964	ec_ill_ec_contig25	contig_95	97.25		True
translocation
1	22687	1442262	1419575	ec_ill_ec_contig48	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442263	1442822	ec_ill_ec_contig92	contig_95	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442823	1444178	ec_ill_ec_contig77	contig_95	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444691	1444179	ec_ill_ec_contig97	contig_95	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555755	1444692	ec_ill_ec_contig12	contig_95	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1555940	1557401	ec_ill_ec_contig65	contig_95	99.79		True
local misassembly
1876	4847	1557722	1560691	ec_ill_ec_contig65	contig_95	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649143	1560692	ec_ill_ec_contig23	contig_95	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649547	1651006	ec_ill_ec_contig65	contig_95	99.66		True
local misassembly
1876	4902	1651417	1654446	ec_ill_ec_contig65	contig_95	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654665	1708348	ec_ill_ec_contig33	contig_95	99.97		True
local misassembly [fragmentation of reference genome]
1	71920	1708349	1780260	ec_ill_ec_contig24	contig_95	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780659	1782120	ec_ill_ec_contig65	contig_95	99.79		True
local misassembly
1876	4902	1782441	1785467	ec_ill_ec_contig65	contig_95	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1789952	1785686	ec_ill_ec_contig66	contig_95	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1789953	1790872	ec_ill_ec_contig83	contig_95	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821707	1790873	ec_ill_ec_contig43	contig_95	99.97		True
translocation
56	399	1822049	1821708	ec_ill_ec_contig6	contig_95	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822050	1823512	ec_ill_ec_contig65	contig_95	99.86		True
local misassembly
1876	4902	1823833	1826859	ec_ill_ec_contig65	contig_95	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1826861	1829871	ec_ill_ec_contig8	contig_95	99.93		True
indel: stretch of mismatches
3012	83127	1829872	1909866	ec_ill_ec_contig8	contig_95	99.83		True
local misassembly
82979	138617	1910057	1965686	ec_ill_ec_contig8	contig_95	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966239	1965754	ec_ill_ec_contig104	contig_95	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966335	1996583	ec_ill_ec_contig44	contig_95	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104506	1996775	ec_ill_ec_contig14	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104507	2105618	ec_ill_ec_contig81	contig_95	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105619	2115312	ec_ill_ec_contig59	contig_95	99.98		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2115834	2115385	ec_ill_ec_contig104	contig_95	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2115835	2119377	ec_ill_ec_contig67	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120066	2119378	ec_ill_ec_contig89	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2209643	2120067	ec_ill_ec_contig21	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218032	2209857	ec_ill_ec_contig35	contig_95	99.86		True
local misassembly
1	42569	2260595	2218033	ec_ill_ec_contig35	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2261826	2260596	ec_ill_ec_contig79	contig_95	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265011	2261827	ec_ill_ec_contig68	contig_95	99.97		True
local misassembly [fragmentation of reference genome]
22	507	2265107	2265592	ec_ill_ec_contig104	contig_95	91.77		True
