S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
105683	121067	1	15386	pa_ill_pa_contig17	contig_149	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	15387	15815	pa_ill_pa_contig84	contig_149	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	19595	15816	pa_ill_pa_contig47	contig_149	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	19596	20108	pa_ill_pa_contig78	contig_149	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	20109	21037	pa_ill_pa_contig72	contig_149	99.35		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	21165	23695	pa_ill_pa_contig53	contig_149	99.84		True
fake: not a misassembly [fragmentation of reference genome]
161	249467	273367	24060	pa_ill_pa_contig9	contig_149	100.0		True
translocation
1	86400	359765	273368	pa_ill_pa_contig25	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	359766	360891	pa_ill_pa_contig67	contig_149	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	552217	360892	pa_ill_pa_contig13	contig_149	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	552218	552709	pa_ill_pa_contig80	contig_149	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	553946	552710	pa_ill_pa_contig65	contig_149	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	554780	553947	pa_ill_pa_contig71	contig_149	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	554781	813353	pa_ill_pa_contig8	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	813354	813846	pa_ill_pa_contig79	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	840640	813847	pa_ill_pa_contig39	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	840641	843594	pa_ill_pa_contig51	contig_149	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	850183	843595	pa_ill_pa_contig42	contig_149	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1079	850184	851207	pa_ill_pa_contig48	contig_149	99.54		True
local misassembly
1235	3667	851363	853795	pa_ill_pa_contig48	contig_149	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	853796	884563	pa_ill_pa_contig38	contig_149	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	885438	884564	pa_ill_pa_contig69	contig_149	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68331	953770	885439	pa_ill_pa_contig28	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	799	955203	954460	pa_ill_pa_contig75	contig_149	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6148	955204	961351	pa_ill_pa_contig43	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	799	962784	962041	pa_ill_pa_contig75	contig_149	99.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	966022	962785	pa_ill_pa_contig50	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	967594	966023	pa_ill_pa_contig58	contig_149	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	972565	967595	pa_ill_pa_contig46	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	974137	972566	pa_ill_pa_contig58	contig_149	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1661	974138	975798	pa_ill_pa_contig59	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1028	975799	976771	pa_ill_pa_contig68	contig_149	99.51		True
fake: not a misassembly [fragmentation of reference genome]
1	690	977576	976887	pa_ill_pa_contig76	contig_149	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	592	978168	977577	pa_ill_pa_contig77	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	978928	979955	pa_ill_pa_contig68	contig_149	99.81		True
fake: not a misassembly [fragmentation of reference genome]
56	690	980705	980071	pa_ill_pa_contig76	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
34236	173697	1120244	980706	pa_ill_pa_contig15	contig_149	99.94		True
local misassembly
1	34328	1154572	1120245	pa_ill_pa_contig15	contig_149	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	1154573	1155720	pa_ill_pa_contig64	contig_149	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	1262516	1155721	pa_ill_pa_contig21	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	1263898	1262517	pa_ill_pa_contig61	contig_149	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	1263899	1468784	pa_ill_pa_contig12	contig_149	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	1469601	1468785	pa_ill_pa_contig73	contig_149	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	1526284	1469602	pa_ill_pa_contig30	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	1527642	1526285	pa_ill_pa_contig62	contig_149	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	23992	1551634	1527643	pa_ill_pa_contig40	contig_149	100.0		True
translocation
56	702	1552281	1551635	pa_ill_pa_contig8	contig_149	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	1552282	1553171	pa_ill_pa_contig71	contig_149	98.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1553172	1554408	pa_ill_pa_contig65	contig_149	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1554900	1554409	pa_ill_pa_contig80	contig_149	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	1673603	1554901	pa_ill_pa_contig19	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	1673604	1679000	pa_ill_pa_contig45	contig_149	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	1679001	1790213	pa_ill_pa_contig20	contig_149	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	266935	2057148	1790214	pa_ill_pa_contig6	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	47071	2057758	2104828	pa_ill_pa_contig35	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	2107658	2105507	pa_ill_pa_contig55	contig_149	99.5		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	847683	2107659	2955347	pa_ill_pa_contig1	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	2955348	2956434	pa_ill_pa_contig67	contig_149	99.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	61716	3018151	2956435	pa_ill_pa_contig29	contig_149	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	3023755	3018152	pa_ill_pa_contig44	contig_149	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38146	3061901	3023756	pa_ill_pa_contig36	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	3511	3062490	3066000	pa_ill_pa_contig49	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1538	3067910	3066373	pa_ill_pa_contig60	contig_149	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	265097	3333457	3068361	pa_ill_pa_contig7	contig_149	100.0		True
local misassembly
1	77	3333913	3333837	pa_ill_pa_contig7	contig_149	98.7		True
local misassembly
1	123	3334255	3334133	pa_ill_pa_contig7	contig_149	99.19		True
fake: not a misassembly [fragmentation of reference genome]
1	187635	3521937	3334302	pa_ill_pa_contig14	contig_149	100.0		True
local misassembly
1	483	3522420	3521938	pa_ill_pa_contig14	contig_149	97.57		True
local misassembly [fragmentation of reference genome]
3	591	3523395	3523983	pa_ill_pa_contig31	contig_149	94.06		True
local misassembly
132	56432	3524007	3580308	pa_ill_pa_contig31	contig_149	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
