Assembly	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
# misassemblies	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	31	32	31
  # contig misassemblies	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	31	32	31
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	31	32	31
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4045615	4045634	4045636	4045594	4045608	4045601	4045589	4045607	4045601	4045589	4045605	4045604	4045233	4045287	4045256	4045364	4045333	4045318	4042946	4043032	4042936
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	13
# local misassemblies	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	17	18	18
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	49	49	49	49	49	49	49	49	49	49	49	49	49	48	49	49	49	49	33	31	30
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5
# mismatches	3763	3824	3755	3914	3940	3900	3817	3868	3835	3834	3830	3791	3954	3892	3907	3968	3873	3845	3397	3577	3406
# indels	435	463	446	446	456	455	415	424	420	419	424	412	846	866	863	791	794	806	4090	4232	4241
    # indels (<= 5 bp)	386	414	397	395	406	404	366	375	371	370	375	364	797	815	813	742	744	758	4035	4173	4187
    # indels (> 5 bp)	49	49	49	51	50	51	49	49	49	49	49	48	49	51	50	49	50	48	55	59	54
Indels length	2570	2624	2586	2602	2617	2613	2553	2561	2557	2556	2562	2532	3072	3114	3125	2992	3022	3005	7094	7287	7248
