Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 10000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 25000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 50000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Total length (>= 5000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	30849498	24074257	24070195	24072707	24061315	24060258	24055824	30848967	24075009	24068751	24072195	24065063	24060094	24056380	30849309
Total length (>= 10000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	30849498	24074257	24070195	24072707	24061315	24060258	24055824	30848967	24075009	24068751	24072195	24065063	24060094	24056380	30849309
Total length (>= 25000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	30849498	24074257	24070195	24072707	24061315	24060258	24055824	30848967	24075009	24068751	24072195	24065063	24060094	24056380	30849309
Total length (>= 50000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	30849498	24074257	24070195	24072707	24061315	24060258	24055824	30848967	24075009	24068751	24072195	24065063	24060094	24056380	30849309
# contigs	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Largest contig	4765367	4765335	4765354	4765366	4764519	4764885	6788581	4765367	4765342	4765360	4765365	4764481	4764611	6787718	4765870	4765291	4765346	4765353	4764528	4764900	6787718
