Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
  # contig misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2845424	2845373	2845569	2845565	2845263	2845303	2843857	2845424	2845368	2845573	2845566	2845303	2845324	2843857	2845425	2845368	2845568	2845560	2845287	2845313	2843857
# possibly misassembled contigs	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
    # possible misassemblies	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	6
# local misassemblies	16	16	16	16	16	16	20	16	16	16	16	16	16	20	16	16	16	16	16	16	20
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	19	19	19	19	19	19	11	19	19	19	19	19	19	11	19	19	19	19	19	19	11
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	5	6	6
# mismatches	7034	6978	7058	7012	6476	6890	4180	6994	7033	7096	7049	6617	6837	4193	7001	7085	7016	6897	6653	6911	4311
# indels	431	420	549	529	622	579	3548	431	439	570	538	595	645	3534	441	444	552	533	660	617	3540
    # indels (<= 5 bp)	390	378	508	490	583	540	3512	390	396	529	497	555	606	3498	400	402	511	492	618	578	3504
    # indels (> 5 bp)	41	42	41	39	39	39	36	41	43	41	41	40	39	36	41	42	41	41	42	39	36
Indels length	2440	2436	2529	2486	2591	2557	6142	2440	2469	2570	2530	2587	2691	6122	2459	2474	2531	2517	2716	2639	6130
