Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 10000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 25000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 50000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Total length (>= 5000 bp)	24074239	24070847	24075790	24065267	24060416	24054361	30850127	24074830	24070579	24075879	24065198	24060552	24053082	30850012	24074372	24070528	24075072	24062757	24061106	24053558	30849517
Total length (>= 10000 bp)	24074239	24070847	24075790	24065267	24060416	24054361	30850127	24074830	24070579	24075879	24065198	24060552	24053082	30850012	24074372	24070528	24075072	24062757	24061106	24053558	30849517
Total length (>= 25000 bp)	24074239	24070847	24075790	24065267	24060416	24054361	30850127	24074830	24070579	24075879	24065198	24060552	24053082	30850012	24074372	24070528	24075072	24062757	24061106	24053558	30849517
Total length (>= 50000 bp)	24074239	24070847	24075790	24065267	24060416	24054361	30850127	24074830	24070579	24075879	24065198	24060552	24053082	30850012	24074372	24070528	24075072	24062757	24061106	24053558	30849517
# contigs	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Largest contig	4765380	4765358	4765659	4765647	4764472	4764668	6788614	4765857	4765290	4765665	4765638	4764540	4764597	6788581	4765360	4765338	4765695	4765649	4764493	4764872	6788581
