All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# contigs (>= 5000 bp)       8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     8                    8                    8                    8                    8                    8                    8               8               8             
# contigs (>= 10000 bp)      8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     8                    8                    8                    8                    8                    8                    8               8               8             
# contigs (>= 25000 bp)      8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     8                    8                    8                    8                    8                    8                    8               8               8             
# contigs (>= 50000 bp)      8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     8                    8                    8                    8                    8                    8                    8               8               8             
Total length (>= 5000 bp)    30861647             30864927             30862476             30867341       30868189       30867430       30864833              30867104              30865019              30857195              30860390              30858038              30851337             30856276             30850927             30846769             30852342             30844210             30847938        30850309        30849039      
Total length (>= 10000 bp)   30861647             30864927             30862476             30867341       30868189       30867430       30864833              30867104              30865019              30857195              30860390              30858038              30851337             30856276             30850927             30846769             30852342             30844210             30847938        30850309        30849039      
Total length (>= 25000 bp)   30861647             30864927             30862476             30867341       30868189       30867430       30864833              30867104              30865019              30857195              30860390              30858038              30851337             30856276             30850927             30846769             30852342             30844210             30847938        30850309        30849039      
Total length (>= 50000 bp)   30861647             30864927             30862476             30867341       30868189       30867430       30864833              30867104              30865019              30857195              30860390              30858038              30851337             30856276             30850927             30846769             30852342             30844210             30847938        30850309        30849039      
# contigs                    8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     8                    8                    8                    8                    8                    8                    8               8               8             
Largest contig               6792153              6792196              6792204              6792195        6792258        6792206        6792241               6792240               6792231               6792247               6792237               6792231               6791608              6791632              6791594              6791690              6791710              6791707              6787702         6787718         6788614       
Total length                 30861647             30864927             30862476             30867341       30868189       30867430       30864833              30867104              30865019              30857195              30860390              30858038              30851337             30856276             30850927             30846769             30852342             30844210             30847938        30850309        30849039      
Reference length             6728151              6728151              6728151              6728151        6728151        6728151        6728151               6728151               6728151               6728151               6728151               6728151               6728151              6728151              6728151              6728151              6728151              6728151              6728151         6728151         6728151       
GC (%)                       49.51                49.51                49.51                49.50          49.50          49.50          49.50                 49.50                 49.50                 49.50                 49.50                 49.50                 49.49                49.49                49.49                49.49                49.50                49.49                49.48           49.48           49.48         
Reference GC (%)             66.21                66.21                66.21                66.21          66.21          66.21          66.21                 66.21                 66.21                 66.21                 66.21                 66.21                 66.21                66.21                66.21                66.21                66.21                66.21                66.21           66.21           66.21         
N50                          4757946              4757846              4757780              4758962        4758994        4758970        4758583               4758586               4758587               4758100               4758114               4758101               4757934              4757908              4757887              4757853              4757839              4757857              4755983         4756088         4755683       
NG50                         6792153              6792196              6792204              6792195        6792258        6792206        6792241               6792240               6792231               6792247               6792237               6792231               6791608              6791632              6791594              6791690              6791710              6791707              6787702         6787718         6788614       
N75                          2992064              2992055              2992078              2992084        2992059        2992095        2992070               2992047               2992077               2992072               2992049               2992076               2991922              2991946              2991934              2991954              2991964              2991975              2990633         2990279         2990261       
NG75                         6792153              6792196              6792204              6792195        6792258        6792206        6792241               6792240               6792231               6792247               6792237               6792231               6791608              6791632              6791594              6791690              6791710              6791707              6787702         6787718         6788614       
L50                          3                    3                    3                    3              3              3              3                     3                     3                     3                     3                     3                     3                    3                    3                    3                    3                    3                    3               3               3             
LG50                         1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
L75                          5                    5                    5                    5              5              5              5                     5                     5                     5                     5                     5                     5                    5                    5                    5                    5                    5                    5               5               5             
LG75                         1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
# misassemblies              6                    6                    6                    8              6              8              6                     6                     6                     6                     6                     6                     6                    6                    6                    6                    6                    6                    9               10              10            
# misassembled contigs       1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
Misassembled contigs length  6792153              6792196              6792204              6792195        6792258        6792206        6792241               6792240               6792231               6792247               6792237               6792231               6791608              6791632              6791594              6791690              6791710              6791707              6787702         6787718         6788614       
# local misassemblies        11                   11                   11                   11             11             11             11                    11                    11                    11                    11                    11                    11                   11                   11                   11                   11                   11                   29              29              24            
