Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# contigs (>= 0 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 1000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 0 bp)	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 1000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 5000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 10000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 25000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 50000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792242	6792185	6792244	6792252	6791600	6791732	6788581	6792252	6792198	6792245	6792243	6791577	6791686	6787718	6792252	6792198	6792245	6792243	6791577	6791686	6787718
Total length	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Reference length	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959
N50	4758939	4757800	4758594	4758071	4757983	4757672	4756051	4758953	4757846	4758592	4758065	4757922	4757649	4756088	4758954	4757856	4758593	4758140	4757950	4757852	4756101
N75	2992083	2992068	2992071	2992074	2991898	2991964	2990667	2992084	2992066	2992071	2992072	2991914	2991953	2990633	2992084	2992066	2992071	2992073	2991916	2991960	2990633
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
# misassemblies	169	169	169	174	169	178	172	168	168	169	171	169	172	176	168	168	169	177	168	175	172
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30866559	30861633	30864249	30853622	30851421	30845671	30849678	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
# local misassemblies	118	117	138	131	149	139	208	115	116	132	133	149	135	211	115	117	134	130	150	145	204
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part
Unaligned length	78429	78867	82596	81033	78571	78067	141701	79248	78734	81756	80845	78355	77917	136441	79252	78804	81829	80999	78252	77033	134441
Genome fraction (%)	99.400	99.393	99.398	99.397	99.398	99.396	99.370	99.400	99.397	99.399	99.399	99.398	99.399	99.371	99.400	99.399	99.398	99.398	99.398	99.396	99.370
Duplication ratio	1.044	1.044	1.043	1.043	1.043	1.043	1.027	1.044	1.044	1.044	1.043	1.043	1.043	1.028	1.044	1.044	1.043	1.043	1.043	1.043	1.028
# N's per 100 kbp	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
