S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_102	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_102	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_102	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226413	3001	sa_ill_sa_contig1	contig_102	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226414	227744	sa_ill_sa_contig48	contig_102	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326359	227745	sa_ill_sa_contig11	contig_102	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326360	333441	sa_ill_sa_contig36	contig_102	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355238	333442	sa_ill_sa_contig30	contig_102	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355239	355950	sa_ill_sa_contig55	contig_102	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370163	355951	sa_ill_sa_contig34	contig_102	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370317	403295	sa_ill_sa_contig26	contig_102	99.82		True
local misassembly [fragmentation of reference genome]
2	925	403500	404419	sa_ill_sa_contig51	contig_102	97.85		True
translocation
198	3323	404972	408097	sa_ill_sa_contig41	contig_102	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408519	410122	sa_ill_sa_contig8	contig_102	99.59		True
translocation
1	28120	410123	438239	sa_ill_sa_contig28	contig_102	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438244	477980	sa_ill_sa_contig21	contig_102	99.88		True
local misassembly [fragmentation of reference genome]
98092	98471	478359	477981	sa_ill_sa_contig11	contig_102	97.97		True
translocation
1	62604	478360	540795	sa_ill_sa_contig14	contig_102	99.56		True
local misassembly
62396	62502	540845	540951	sa_ill_sa_contig14	contig_102	98.6		True
translocation
203	3323	540952	544074	sa_ill_sa_contig41	contig_102	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544492	546087	sa_ill_sa_contig8	contig_102	99.24		True
translocation
19	34443	580527	546088	sa_ill_sa_contig24	contig_102	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619323	580528	sa_ill_sa_contig22	contig_102	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619324	619856	sa_ill_sa_contig63	contig_102	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654227	619857	sa_ill_sa_contig25	contig_102	99.81		True
translocation
203	3323	654392	657494	sa_ill_sa_contig41	contig_102	99.2		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657866	789884	sa_ill_sa_contig8	contig_102	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790226	939731	sa_ill_sa_contig5	contig_102	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939777	970689	sa_ill_sa_contig27	contig_102	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970690	971496	sa_ill_sa_contig53	contig_102	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974539	971615	sa_ill_sa_contig43	contig_102	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988240	974540	sa_ill_sa_contig35	contig_102	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	988972	1114699	sa_ill_sa_contig10	contig_102	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114700	1115364	sa_ill_sa_contig60	contig_102	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1116967	1116484	sa_ill_sa_contig65	contig_102	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137815	1116968	sa_ill_sa_contig32	contig_102	99.82		True
translocation
