S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_102	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_102	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3001	2518	sa_ill_sa_contig65	contig_102	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226421	3002	sa_ill_sa_contig1	contig_102	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226422	227751	sa_ill_sa_contig48	contig_102	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326385	227752	sa_ill_sa_contig11	contig_102	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326386	333471	sa_ill_sa_contig36	contig_102	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355264	333472	sa_ill_sa_contig30	contig_102	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355265	355976	sa_ill_sa_contig55	contig_102	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370189	355977	sa_ill_sa_contig34	contig_102	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370342	403322	sa_ill_sa_contig26	contig_102	99.87		True
local misassembly [fragmentation of reference genome]
2	925	403527	404446	sa_ill_sa_contig51	contig_102	97.85		True
translocation
198	3323	405000	408124	sa_ill_sa_contig41	contig_102	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408546	410149	sa_ill_sa_contig8	contig_102	99.71		True
translocation
1	28120	410150	438275	sa_ill_sa_contig28	contig_102	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438280	478018	sa_ill_sa_contig21	contig_102	99.93		True
local misassembly [fragmentation of reference genome]
98092	98471	478397	478019	sa_ill_sa_contig11	contig_102	97.97		True
translocation
1	62604	478398	540856	sa_ill_sa_contig14	contig_102	99.67		True
local misassembly
62396	62502	540906	541012	sa_ill_sa_contig14	contig_102	98.6		True
translocation
203	3323	541013	544132	sa_ill_sa_contig41	contig_102	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544550	546153	sa_ill_sa_contig8	contig_102	99.59		True
translocation
19	34443	580590	546154	sa_ill_sa_contig24	contig_102	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619384	580591	sa_ill_sa_contig22	contig_102	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619385	619917	sa_ill_sa_contig63	contig_102	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654293	619918	sa_ill_sa_contig25	contig_102	99.89		True
translocation
203	3323	654458	657580	sa_ill_sa_contig41	contig_102	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657952	789973	sa_ill_sa_contig8	contig_102	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790315	939806	sa_ill_sa_contig5	contig_102	99.59		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939852	970755	sa_ill_sa_contig27	contig_102	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970756	971561	sa_ill_sa_contig53	contig_102	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974600	971680	sa_ill_sa_contig43	contig_102	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988298	974601	sa_ill_sa_contig35	contig_102	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989030	1114758	sa_ill_sa_contig10	contig_102	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114759	1115423	sa_ill_sa_contig60	contig_102	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117025	1116542	sa_ill_sa_contig65	contig_102	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137854	1117026	sa_ill_sa_contig32	contig_102	99.92		True
translocation
