All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# contigs (>= 5000 bp)       7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
# contigs (>= 10000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
# contigs (>= 25000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
# contigs (>= 50000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
Total length (>= 5000 bp)    24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Total length (>= 10000 bp)   24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Total length (>= 25000 bp)   24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Total length (>= 50000 bp)   24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
# contigs                    7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     7              
Largest contig               4765396         4765339               4765361                4765365                4764689               4764726               6788614          4765403         4765334               4765359                4765364                4764683               4764682               6788581          4765471         4765411               4765372                4765365                4764770               4764744               6788292        
Total length                 24074745        24070729              24072155               24064354               24061185              24054036              28131334         24074631        24069339              24071923               24062244               24061038              24054829              30849057         24074724        24069480              24072032               24064645               24060108              24055808              28130815       
Reference length             4738357         4738357               4738357                4738357                4738357               4738357               4738357          4738357         4738357               4738357                4738357                4738357               4738357               4738357          4738357         4738357               4738357                4738357                4738357               4738357               4738357        
GC (%)                       44.80           44.80                 44.80                  44.80                  44.79                 44.79                 51.10            44.80           44.80                 44.80                  44.80                  44.79                 44.79                 49.48            44.80           44.80                 44.80                  44.80                  44.79                 44.79                 51.10          
Reference GC (%)             52.15           52.15                 52.15                  52.15                  52.15                 52.15                 52.15            52.15           52.15                 52.15                  52.15                  52.15                 52.15                 52.15            52.15           52.15                 52.15                  52.15                  52.15                 52.15                 52.15          
N50                          4045595         4045615               4045602                4045598                4045293               4045319               4755933          4045596         4045616               4045587                4045593                4045258               4045323               4756088          4045596         4045613               4045582                4045587                4045248               4045358               4756065        
NG50                         4765396         4765339               4765361                4765365                4764689               4764726               6788614          4765403         4765334               4765359                4765364                4764683               4764682               6788581          4765471         4765411               4765372                4765365                4764770               4764744               6788292        
N75                          2845436         2845374               2845428                2845430                2845286               2845307               2990636          2845427         2845364               2845435                2845433                2845287               2845362               2990626          2845427         2845365               2845437                2845434                2845286               2845324               2990261        
NG75                         4765396         4765339               4765361                4765365                4764689               4764726               6788614          4765403         4765334               4765359                4765364                4764683               4764682               6788581          4765471         4765411               4765372                4765365                4764770               4764744               6788292        
L50                          3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3              
LG50                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
L75                          5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5              
LG75                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
# misassemblies              15              15                    15                     15                     15                    15                    19               15              16                    15                     15                     15                    15                    18               15              15                    15                     15                     15                    15                    18             
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  4758957         4758026               4758581                4758584                4758019               4758050               4755933          4758981         4757842               4758589                4758101                4757934               4757912               4756088          4758992         4758031               4758588                4758092                4757964               4757944               4756065        
# local misassemblies        8               8                     8                      8                      8                     8                     28               8               8                     8                      8                      8                     8                     20               8               8                     8                      7                      8                     8                     23             
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# unaligned contigs          0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part     
Unaligned length             19038030        19034407              19034996               19027181               19022446              19016640              23171699         19037327        19032820              19034783               19024995               19026206              19016910              25895582         19038932        19033947              19037508               19030718               19021363              19019652              23171200       
Genome fraction (%)          98.920          98.920                98.920                 98.920                 98.920                98.920                98.889           98.920          98.919                98.920                 98.920                 98.920                98.920                98.896           98.918          98.920                98.920                 98.920                 98.920                98.920                98.893         
Duplication ratio            1.075           1.075                 1.075                  1.075                  1.075                 1.075                 1.059            1.075           1.075                 1.075                  1.075                  1.074                 1.075                 1.057            1.075           1.075                 1.074                  1.074                  1.075                 1.075                 1.059          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     411.42          409.03                410.07                 410.16                 419.82                416.90                469.18           412.08          409.50                409.77                 411.20                 410.20                418.03                461.21           410.51          408.73                404.10                 404.63                 418.95                414.62                462.22         
# indels per 100 kbp         21.11           15.24                 11.50                  11.44                  35.00                 33.76                 220.19           21.34           15.71                 11.52                  11.50                  35.49                 33.67                 225.09           21.83           15.47                 11.35                  11.35                  35.81                 32.97                 224.56         
Largest alignment            2147330         2147000               2147613                2147616                2147331               2147378               2119053          1342507         1342444               1342475                1342475                1342281               1342301               1341457          1342519         1342440               1342475                1342473                1342293               1342321               1341465        
Total aligned length         5034318         5033925               5034760                5034774                5036342               5034984               4957791          5034962         5034232               5034796                5034905                5032487               5035576               4951293          5033450         5033191               5032182                5029157                5036402               5033812               4957557        
NGA50                        613190          613138                613151                 613150                 613053                613065                571016           745405          745357                745369                 745372                 745295                745312                744987           745424          745358                745369                 745371                 745289                745281                744976         
NGA75                        571162          571129                571141                 571141                 571083                571075                373676           611519          611511                611516                 611513                 611426                611459                433868           611519          611509                611516                 611515                 611437                611447                433947         
LGA50                        2               2                     2                      2                      2                     2                     2                3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3              
LGA75                        4               4                     4                      4                      4                     4                     5                5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5              
