S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102753	ec_ill_ec_contig2	contig_89	99.99		True
local misassembly
310191	312944	102754	105507	ec_ill_ec_contig2	contig_89	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303858	105597	ec_ill_ec_contig4	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306830	303859	ec_ill_ec_contig65	contig_89	99.93		True
local misassembly
1	1463	308690	307228	ec_ill_ec_contig65	contig_89	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309057	346352	ec_ill_ec_contig39	contig_89	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346448	346776	ec_ill_ec_contig104	contig_89	91.19		True
indel: indel (> 5bp)
384	502	346777	346895	ec_ill_ec_contig104	contig_89	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346968	392275	ec_ill_ec_contig15	contig_89	99.94		True
local misassembly
45064	105217	392290	452440	ec_ill_ec_contig15	contig_89	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452441	453672	ec_ill_ec_contig79	contig_89	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453673	514086	ec_ill_ec_contig31	contig_89	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514274	857483	ec_ill_ec_contig1	contig_89	99.99		True
local misassembly
343563	393863	857484	907794	ec_ill_ec_contig1	contig_89	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980748	907795	ec_ill_ec_contig16	contig_89	99.99		True
local misassembly
1	31383	1012131	980749	ec_ill_ec_contig16	contig_89	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015159	1012133	ec_ill_ec_contig65	contig_89	99.93		True
local misassembly
1	1463	1017025	1015563	ec_ill_ec_contig65	contig_89	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058568	1017296	ec_ill_ec_contig37	contig_89	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059489	1058569	ec_ill_ec_contig83	contig_89	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059490	1206987	ec_ill_ec_contig7	contig_89	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206988	1208911	ec_ill_ec_contig73	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209473	1208912	ec_ill_ec_contig91	contig_89	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209474	1210118	ec_ill_ec_contig94	contig_89	98.91		True
