S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102753	ec_ill_ec_contig2	contig_96	99.99		True
local misassembly
310191	312944	102754	105507	ec_ill_ec_contig2	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303858	105597	ec_ill_ec_contig4	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306830	303859	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1	1463	308690	307228	ec_ill_ec_contig65	contig_96	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309057	346353	ec_ill_ec_contig39	contig_96	100.0		True
local misassembly [fragmentation of reference genome]
22	350	346449	346777	ec_ill_ec_contig104	contig_96	91.19		True
indel: indel (> 5bp)
384	502	346778	346896	ec_ill_ec_contig104	contig_96	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346969	392276	ec_ill_ec_contig15	contig_96	99.94		True
local misassembly
45064	105217	392291	452441	ec_ill_ec_contig15	contig_96	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452442	453673	ec_ill_ec_contig79	contig_96	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453674	514087	ec_ill_ec_contig31	contig_96	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514275	857485	ec_ill_ec_contig1	contig_96	99.99		True
local misassembly
343563	393863	857486	907796	ec_ill_ec_contig1	contig_96	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980750	907797	ec_ill_ec_contig16	contig_96	99.99		True
local misassembly
1	31383	1012134	980751	ec_ill_ec_contig16	contig_96	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015164	1012136	ec_ill_ec_contig65	contig_96	99.87		True
local misassembly
1	1449	1017039	1015586	ec_ill_ec_contig65	contig_96	98.83		True
fake: not a misassembly [fragmentation of reference genome]
