S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_98	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_98	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_98	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226507	3001	sa_ill_sa_contig1	contig_98	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226508	227838	sa_ill_sa_contig48	contig_98	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326516	227839	sa_ill_sa_contig11	contig_98	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326517	333604	sa_ill_sa_contig36	contig_98	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355410	333605	sa_ill_sa_contig30	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355411	356122	sa_ill_sa_contig55	contig_98	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370347	356123	sa_ill_sa_contig34	contig_98	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370501	403505	sa_ill_sa_contig26	contig_98	99.79		True
local misassembly [fragmentation of reference genome]
2	925	403710	404628	sa_ill_sa_contig51	contig_98	97.96		True
translocation
198	3323	405183	408313	sa_ill_sa_contig41	contig_98	99.74		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408735	410338	sa_ill_sa_contig8	contig_98	99.65		True
translocation
1	28120	410339	438471	sa_ill_sa_contig28	contig_98	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438476	478223	sa_ill_sa_contig21	contig_98	99.87		True
local misassembly [fragmentation of reference genome]
98092	98471	478602	478224	sa_ill_sa_contig11	contig_98	97.97		True
translocation
1	62604	478603	541097	sa_ill_sa_contig14	contig_98	99.61		True
local misassembly
62396	62502	541147	541253	sa_ill_sa_contig14	contig_98	98.6		True
translocation
203	3323	541254	544378	sa_ill_sa_contig41	contig_98	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544797	546397	sa_ill_sa_contig8	contig_98	99.59		True
translocation
19	34443	580839	546398	sa_ill_sa_contig24	contig_98	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619643	580840	sa_ill_sa_contig22	contig_98	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619644	620176	sa_ill_sa_contig63	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654573	620177	sa_ill_sa_contig25	contig_98	99.82		True
translocation
203	3323	654738	657864	sa_ill_sa_contig41	contig_98	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	658237	790299	sa_ill_sa_contig8	contig_98	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790641	940172	sa_ill_sa_contig5	contig_98	99.53		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	940218	971132	sa_ill_sa_contig27	contig_98	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	971133	971939	sa_ill_sa_contig53	contig_98	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974986	972059	sa_ill_sa_contig43	contig_98	99.5		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988694	974987	sa_ill_sa_contig35	contig_98	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989426	1115208	sa_ill_sa_contig10	contig_98	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1115209	1115873	sa_ill_sa_contig60	contig_98	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117475	1116992	sa_ill_sa_contig65	contig_98	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1138316	1117476	sa_ill_sa_contig32	contig_98	99.84		True
translocation
1	130429	1268756	1138317	sa_ill_sa_contig9	contig_98	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268757	1273338	sa_ill_sa_contig40	contig_98	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1273339	1278663	sa_ill_sa_contig38	contig_98	99.7		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1283244	1278664	sa_ill_sa_contig40	contig_98	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1309438	1283245	sa_ill_sa_contig29	contig_98	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309803	1310659	sa_ill_sa_contig54	contig_98	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312861	1311187	sa_ill_sa_contig46	contig_98	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
