Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# contigs (>= 0 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 1000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 0 bp)	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
Total length (>= 1000 bp)	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
Total length (>= 5000 bp)	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
Total length (>= 10000 bp)	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
Total length (>= 25000 bp)	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
Total length (>= 50000 bp)	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792182	6792182	6792182	6792248	6792248	6792248	6792245	6792245	6792245	6792246	6792246	6792246	6791651	6791651	6791651	6791761	6791761	6791761	6788581	6788581	6788581
Total length	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
Reference length	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959
N50	4757850	4758004	4757772	4758987	4759001	4758968	4758591	4758589	4758585	4758094	4758113	4758100	4757969	4758019	4757945	4757915	4757917	4757899	4756101	4755953	4755682
N75	2992057	2992066	2992057	2992056	2992083	2992056	2992047	2992072	2992048	2992047	2992073	2992046	2991930	2991945	2991935	2991941	2991986	2991949	2990626	2990624	2990626
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
# misassemblies	170	168	170	170	171	170	168	171	168	168	177	169	168	171	168	171	178	173	172	173	174
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
# local misassemblies	114	121	117	115	116	117	126	134	122	130	130	128	149	148	145	139	144	139	206	196	209
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 8 part	0 + 8 part
Unaligned length	78334	79238	78141	77559	78440	77994	80389	81606	79327	80339	81948	80562	77865	77619	77776	77778	76436	76731	136362	133018	137278
Genome fraction (%)	99.399	99.394	99.399	99.400	99.400	99.400	99.399	99.399	99.399	99.399	99.395	99.399	99.398	99.398	99.398	99.397	99.395	99.397	99.371	99.373	99.368
Duplication ratio	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.043	1.044	1.044	1.043	1.044	1.043	1.043	1.043	1.043	1.043	1.043	1.027	1.028	1.028
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	167.14	168.33	167.79	175.57	176.79	176.43	177.79	175.84	177.91	175.14	174.97	176.56	178.87	177.74	178.06	180.59	178.51	179.28	273.77	275.46	273.62
# indels per 100 kbp	23.20	23.57	23.67	38.49	38.54	38.64	27.16	26.83	26.75	26.41	26.16	26.24	62.35	61.70	62.07	58.03	57.67	58.07	309.74	311.18	307.46
