Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# misassemblies	34	34	34	34	33	34	31	34	34	34	34	33	34	31	34	34	34	34	34	34	32
  # contig misassemblies	34	34	34	34	33	34	31	34	34	34	34	33	34	31	34	34	34	34	34	34	32
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	34	34	34	34	33	34	31	34	34	34	34	33	34	31	34	34	34	34	34	34	32
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4045594	4045614	4045830	4045830	4045233	4045289	4042947	4045599	4045618	4045837	4045836	4045198	4045283	4042978	4045594	4045616	4045840	4045837	4045212	4045325	4042951
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	10	10	10	10	10	10	11	10	10	10	10	12	10	11	10	10	10	10	10	10	11
# local misassemblies	13	13	13	13	12	13	18	13	13	13	13	13	13	18	13	13	13	13	13	13	17
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	49	49	49	49	50	49	30	49	49	49	49	50	49	31	49	49	49	49	49	49	32
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	6	6	6	4
# mismatches	3904	3834	3888	3891	3949	3949	3341	3918	3819	3879	3910	4001	3962	3392	3925	3846	3912	3827	3963	3927	3484
# indels	453	450	677	658	887	832	4123	452	448	676	673	894	852	4140	450	448	667	666	910	798	4096
    # indels (<= 5 bp)	402	400	628	610	841	782	4066	401	398	627	624	845	804	4083	399	398	619	617	863	749	4039
    # indels (> 5 bp)	51	50	49	48	46	50	57	51	50	49	49	49	48	57	51	50	48	49	47	49	57
Indels length	2609	2604	2824	2783	3047	3053	7183	2608	2601	2822	2819	3100	3055	7230	2606	2600	2794	2808	3138	3018	7150
