Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# contigs (>= 0 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 1000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 0 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 1000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 5000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 10000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 25000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Total length (>= 50000 bp)	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792200	6792201	6792230	6792235	6791646	6791695	6788614	6792246	6792183	6792245	6792249	6791667	6791726	6788581	6792689	6792361	6792415	6792413	6791833	6791907	6788292
Total length	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
Reference length	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959
N50	4758957	4758026	4758581	4758584	4758019	4758050	4755933	4758981	4757842	4758589	4758101	4757934	4757912	4756088	4758992	4758031	4758588	4758092	4757964	4757944	4756065
N75	2992094	2992072	2992073	2992074	2991951	2991999	2990636	2992084	2992066	2992073	2992074	2991957	2991981	2990626	2992095	2992076	2992076	2992073	2991935	2991970	2990261
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
# misassemblies	170	167	167	171	167	174	177	170	168	170	173	169	176	173	170	168	170	172	173	177	174
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
# local misassemblies	118	121	134	137	150	146	212	116	119	130	133	146	139	206	116	120	124	133	151	136	208
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part
Unaligned length	78700	78796	81721	82202	78296	77725	141489	78433	79128	80804	80526	77783	75888	136427	78646	79823	80228	83038	77250	76289	137042
Genome fraction (%)	99.399	99.396	99.398	99.396	99.397	99.395	99.374	99.400	99.392	99.399	99.399	99.398	99.398	99.371	99.400	99.393	99.398	99.399	99.397	99.398	99.371
Duplication ratio	1.044	1.044	1.043	1.043	1.043	1.043	1.028	1.044	1.044	1.043	1.043	1.043	1.043	1.028	1.044	1.044	1.044	1.043	1.043	1.043	1.028
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	176.02	168.03	176.25	176.24	176.51	180.05	272.23	176.28	168.46	175.49	175.78	178.88	180.43	274.79	175.53	167.26	179.13	173.63	178.18	177.56	270.09
