All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
# contigs (>= 5000 bp)       7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                 
# contigs (>= 10000 bp)      7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                 
# contigs (>= 25000 bp)      7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                 
# contigs (>= 50000 bp)      7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                 
Total length (>= 5000 bp)    24074317           24069448                 24072005                  24061370                  24059821                 24053939                 30849678            24074504           24070562                 24072056                  24063280                  24060309                 24055890                 30849158            24074399           24070917                 24071942                  24055585                  24060307                 24051912                 30848199          
Total length (>= 10000 bp)   24074317           24069448                 24072005                  24061370                  24059821                 24053939                 30849678            24074504           24070562                 24072056                  24063280                  24060309                 24055890                 30849158            24074399           24070917                 24071942                  24055585                  24060307                 24051912                 30848199          
Total length (>= 25000 bp)   24074317           24069448                 24072005                  24061370                  24059821                 24053939                 30849678            24074504           24070562                 24072056                  24063280                  24060309                 24055890                 30849158            24074399           24070917                 24071942                  24055585                  24060307                 24051912                 30848199          
Total length (>= 50000 bp)   24074317           24069448                 24072005                  24061370                  24059821                 24053939                 30849678            24074504           24070562                 24072056                  24063280                  24060309                 24055890                 30849158            24074399           24070917                 24071942                  24055585                  24060307                 24051912                 30848199          
# contigs                    7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                   7                  7                        7                         7                         7                        7                        8                 
Largest contig               4765357            4765332                  4765357                   4765355                   4764584                  4764687                  6788581             4765355            4765369                  4765398                   4765353                   4764761                  4764686                  6787718             4765363            4765342                  4765361                   4765354                   4764595                  4764670                  6787718           
