Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# contigs (>= 0 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 1000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 0 bp)	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
Total length (>= 1000 bp)	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
Total length (>= 5000 bp)	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
Total length (>= 10000 bp)	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
Total length (>= 25000 bp)	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
Total length (>= 50000 bp)	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792205	6792208	6792382	6792380	6791578	6791619	6788614	6792242	6792185	6792389	6792392	6791549	6791659	6788581	6792242	6792185	6792389	6792392	6791549	6791658	6788581
Total length	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
Reference length	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959
N50	4758902	4757799	4759020	4758488	4757908	4757843	4755996	4758906	4758018	4759008	4758481	4757940	4757851	4755926	4758924	4757804	4759024	4758498	4757988	4757863	4756050
N75	2992069	2992056	2992173	2992163	2991926	2991944	2990670	2992084	2992067	2992181	2992179	2991904	2991942	2990627	2992085	2992068	2992180	2992178	2991937	2991954	2990634
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
# misassemblies	170	169	171	177	170	180	173	171	168	169	175	168	177	173	170	168	168	171	168	174	174
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30866444	30863055	30868172	30857647	30851994	30845980	30850127	30867072	30862764	30868268	30857590	30852101	30844741	30850012	30866614	30862713	30867461	30855149	30852655	30845216	30849517
# local misassemblies	116	117	132	131	149	140	204	116	118	132	134	149	142	211	116	117	132	133	148	139	208
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part
Unaligned length	78588	78989	81776	80026	77699	76041	136933	78932	78363	82131	80539	78081	76507	139774	78459	78365	81158	79524	77848	76770	139620
Genome fraction (%)	99.399	99.397	99.397	99.398	99.396	99.395	99.374	99.400	99.398	99.397	99.397	99.396	99.394	99.373	99.400	99.399	99.399	99.399	99.398	99.397	99.371
Duplication ratio	1.044	1.044	1.043	1.043	1.042	1.043	1.027	1.043	1.044	1.043	1.043	1.042	1.043	1.028	1.044	1.044	1.044	1.043	1.043	1.043	1.028
# N's per 100 kbp	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
