Assembly	r10_1bin_v3_1_MP	r10_1bin_v3_1_MP_helen	r10_1bin_v3_1_r1_medaka	r10_1bin_v3_1_r2_medaka	r10_1bin_v3_1_racon_r1	r10_1bin_v3_1_racon_r2	r10_1bin_v3_1_raw	r10_1bin_v3_2_MP	r10_1bin_v3_2_MP_helen	r10_1bin_v3_2_r1_medaka	r10_1bin_v3_2_r2_medaka	r10_1bin_v3_2_racon_r1	r10_1bin_v3_2_racon_r2	r10_1bin_v3_2_raw	r10_1bin_v3_3_MP	r10_1bin_v3_3_MP_helen	r10_1bin_v3_3_r1_medaka	r10_1bin_v3_3_r2_medaka	r10_1bin_v3_3_racon_r1	r10_1bin_v3_3_racon_r2	r10_1bin_v3_3_raw
# contigs (>= 0 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 1000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 0 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 1000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 5000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 10000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 25000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Total length (>= 50000 bp)	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792277	6792242	6792252	6792253	6791585	6791667	6787707	6792257	6792199	6792399	6792386	6791581	6791672	6787721	6792253	6792197	6792391	6792395	6791556	6791638	6787718
Total length	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
Reference length	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959
N50	4758942	4758045	4758082	4757996	4757676	4757433	4756098	4758934	4757811	4759010	4758465	4757950	4757851	4756089	4758933	4757839	4759025	4758469	4757998	4757867	4756074
N75	2992085	2992067	2992074	2992074	2991917	2991951	2990633	2992084	2992067	2992184	2992173	2991893	2991931	2990628	2992084	2992068	2992178	2992176	2991922	2991951	2990626
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
# misassemblies	169	168	170	171	168	174	173	170	168	170	171	169	172	175	170	171	170	172	171	174	176
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30867105	30862332	30864140	30855723	30852485	30847715	30848193	30866747	30862810	30867513	30858217	30852216	30847455	30848654	30870433	30862880	30870915	30863583	30855714	30850694	30851667
# local misassemblies	117	117	130	129	147	136	207	115	116	131	129	150	139	213	117	120	127	136	146	145	261
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part
Unaligned length	78638	79438	81428	80407	78587	77441	136848	78652	78658	81775	80368	78110	77641	138584	79262	81659	80873	81101	78367	76681	189211
Genome fraction (%)	99.400	99.392	99.399	99.397	99.398	99.395	99.370	99.400	99.399	99.399	99.398	99.398	99.397	99.370	99.399	99.377	99.399	99.397	99.397	99.396	99.214
Duplication ratio	1.044	1.044	1.044	1.043	1.043	1.043	1.028	1.044	1.044	1.043	1.043	1.043	1.043	1.027	1.044	1.044	1.044	1.043	1.043	1.043	1.028
# N's per 100 kbp	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32
