Assembly	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
# misassemblies	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	19	19	19
  # contig misassemblies	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	19	19	19
    # c. relocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. translocations	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	18	18	18
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4765299	4765370	4765301	4765922	4765391	4765920	4765362	4765395	4765360	4765364	4765350	4765359	4764643	4764770	4764652	4764716	4764723	4764656	4763471	4763493	4763422
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	32	34	32
# local misassemblies	36	36	37	37	36	37	36	36	37	37	36	37	36	37	36	36	36	36	57	61	57
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	41	36	35	36
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	20460	20480	20527	20568	20565	20533	20722	20655	20531	20676	20602	20665	20461	20737	20521	20949	20948	21095	23221	22663	23497
# indels	855	788	850	981	960	975	710	725	702	704	717	702	1710	1742	1704	1561	1566	1552	10941	11070	11077
    # indels (<= 5 bp)	755	689	751	883	860	877	613	626	606	608	619	606	1612	1645	1606	1464	1469	1454	10742	10870	10878
    # indels (> 5 bp)	100	99	99	98	100	98	97	99	96	96	98	96	98	97	98	97	97	98	199	200	199
Indels length	6175	6061	6065	6243	6238	6231	5933	6001	5820	5832	5950	5831	7098	7169	7081	6906	6941	6913	20061	20302	20229
