Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	N50	N75	L50	L75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NA75	LA50	LA75
r10_1bin_1_MP	8	8	8	8	8	8	30866736	30866736	30866736	30866736	30866736	30866736	8	6792242	30866736	30512959	4758939	2992084	3	5	170	8	30866736	115	0	0	0	0 + 7 part	78463	99.400	1.043	0.00	174.38	38.11	2560093	30752369	948893	391212	11	24
r10_1bin_1_MP_helen	8	8	8	8	8	8	30862385	30862385	30862385	30862385	30862385	30862385	8	6792185	30862385	30512959	4757842	2992067	3	5	168	8	30862385	119	0	0	0	0 + 7 part	79346	99.395	1.044	0.00	168.25	23.62	2559993	30749557	1070326	391213	10	23
r10_1bin_1_r1_medaka	8	8	8	8	8	8	30864454	30864454	30864454	30864454	30864454	30864454	8	6792243	30864454	30512959	4758592	2992075	3	5	169	8	30864454	133	0	0	0	0 + 7 part	81484	99.399	1.043	0.00	177.43	26.59	2560096	30751999	1070328	391213	10	23
r10_1bin_1_r2_medaka	8	8	8	8	8	8	30856532	30856532	30856532	30856532	30856532	30856532	8	6792248	30856532	30512959	4758097	2992074	3	5	171	8	30856532	137	0	0	0	0 + 7 part	81562	99.399	1.043	0.00	175.39	26.31	2560100	30739085	1070330	391215	10	23
r10_1bin_1_racon_r1	8	8	8	8	8	8	30852547	30852547	30852547	30852547	30852547	30852547	8	6791549	30852547	30512959	4757948	2991894	3	5	169	8	30852547	148	0	0	0	0 + 7 part	77781	99.398	1.043	0.00	177.26	66.17	2560168	30744020	1070234	391192	10	23
r10_1bin_1_racon_r2	8	8	8	8	8	8	30847337	30847337	30847337	30847337	30847337	30847337	8	6791659	30847337	30512959	4757880	2991958	3	5	173	8	30847337	147	0	0	0	0 + 7 part	76859	99.397	1.043	0.00	178.49	61.01	2560004	30739235	1070253	391206	10	23
r10_1bin_1_raw	8	8	8	8	8	8	30849498	30849498	30849498	30849498	30849498	30849498	8	6788581	30849498	30512959	4756088	2990628	3	5	173	8	30849498	209	0	0	0	0 + 8 part	137275	99.371	1.027	0.00	273.31	311.06	2555508	30686330	777743	376968	12	26
r10_1bin_2_MP	8	8	8	8	8	8	30866510	30866510	30866510	30866510	30866510	30866510	8	6792253	30866510	30512959	4758938	2992085	3	5	167	8	30866510	116	0	0	0	0 + 7 part	79154	99.400	1.044	0.00	176.08	38.07	2390996	30749117	948796	399298	11	24
r10_1bin_2_MP_helen	8	8	8	8	8	8	30862392	30862392	30862392	30862392	30862392	30862392	8	6792197	30862392	30512959	4757859	2992067	3	5	168	8	30862392	118	0	1	0	0 + 7 part	78921	99.395	1.044	0.03	168.18	23.80	2390975	30747726	948180	399300	11	24
r10_1bin_2_r1_medaka	8	8	8	8	8	8	30864952	30864952	30864952	30864952	30864952	30864952	8	6792245	30864952	30512959	4758591	2992074	3	5	168	8	30864952	132	0	0	0	0 + 7 part	82258	99.398	1.044	0.00	177.19	26.38	2390992	30747042	948785	399303	11	24
r10_1bin_2_r2_medaka	8	8	8	8	8	8	30853556	30853556	30853556	30853556	30853556	30853556	8	6792241	30853556	30512959	4758127	2992073	3	5	172	8	30853556	130	0	0	0	0 + 7 part	78952	99.398	1.043	0.00	176.10	26.00	2390995	30738816	948773	399303	11	24
r10_1bin_2_racon_r1	8	8	8	8	8	8	30851814	30851814	30851814	30851814	30851814	30851814	8	6791556	30851814	30512959	4757960	2991915	3	5	169	8	30851814	147	0	0	0	0 + 7 part	78197	99.396	1.043	0.00	178.36	66.26	2390872	30740999	949192	399204	11	24
r10_1bin_2_racon_r2	8	8	8	8	8	8	30847462	30847462	30847462	30847462	30847462	30847462	8	6791638	30847462	30512959	4757842	2991980	3	5	172	8	30847462	141	0	0	0	0 + 7 part	77608	99.397	1.043	0.00	180.96	60.69	2390925	30736647	949173	399231	11	24
r10_1bin_2_raw	8	8	8	8	8	8	30848967	30848967	30848967	30848967	30848967	30848967	8	6787718	30848967	30512959	4756101	2990633	3	5	171	8	30848967	206	0	0	0	0 + 8 part	135612	99.372	1.028	0.00	272.80	309.07	2387874	30682672	777741	381417	12	26
