Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# contigs (>= 0 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 1000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 0 bp)	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
Total length (>= 1000 bp)	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
Total length (>= 5000 bp)	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
Total length (>= 10000 bp)	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
Total length (>= 25000 bp)	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
Total length (>= 50000 bp)	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792242	6792185	6792243	6792248	6791549	6791659	6788581	6792253	6792197	6792245	6792241	6791556	6791638	6787718	6792253	6792197	6792245	6792241	6791556	6791638	6787718
Total length	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
Reference length	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959
N50	4758939	4757842	4758592	4758097	4757948	4757880	4756088	4758938	4757859	4758591	4758127	4757960	4757842	4756101	4758939	4757830	4758588	4758127	4757931	4757812	4756002
N75	2992084	2992067	2992075	2992074	2991894	2991958	2990628	2992085	2992067	2992074	2992073	2991915	2991980	2990633	2992084	2992069	2992075	2992075	2991930	2991998	2990669
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
# misassemblies	170	168	169	171	169	173	173	167	168	168	172	169	172	171	168	168	169	172	173	173	175
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
# local misassemblies	115	119	133	137	148	147	209	116	118	132	130	147	141	206	117	120	133	131	152	140	212
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part
Unaligned length	78463	79346	81484	81562	77781	76859	137275	79154	78921	82258	78952	78197	77608	135612	79720	79969	81512	82511	77386	77494	137527
Genome fraction (%)	99.400	99.395	99.399	99.399	99.398	99.397	99.371	99.400	99.395	99.398	99.398	99.396	99.397	99.372	99.400	99.390	99.398	99.398	99.397	99.398	99.371
Duplication ratio	1.043	1.044	1.043	1.043	1.043	1.043	1.027	1.044	1.044	1.044	1.043	1.043	1.043	1.028	1.044	1.044	1.044	1.043	1.043	1.043	1.028
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	174.38	168.25	177.43	175.39	177.26	178.49	273.31	176.08	168.18	177.19	176.10	178.36	180.96	272.80	176.32	168.20	178.96	176.05	177.31	178.20	277.06
